Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.561270e+03,2.562270e+03,0,0,0,0
SPX US 10/20/2017 C1000 Index,1000,1.559200e+03,1.564800e+03,0,0,4,5
SPX US 10/20/2017 C1100 Index,1100,1.459200e+03,1.464800e+03,0,0,4,5
SPX US 10/20/2017 C1200 Index,1200,1.359200e+03,1.364800e+03,0,0,4,5
SPX US 10/20/2017 C1225 Index,1225,1.334200e+03,1.339800e+03,0,0,4,5
SPX US 10/20/2017 C1250 Index,1250,1.309200e+03,1.314800e+03,0,0,4,5
SPX US 10/20/2017 C1275 Index,1275,1.284200e+03,1.289800e+03,0,0,4,5
SPX US 10/20/2017 C1300 Index,1300,1.259200e+03,1.264800e+03,0,0,4,5
SPX US 10/20/2017 C1325 Index,1325,1.234200e+03,1.239800e+03,0,0,4,5
SPX US 10/20/2017 C1350 Index,1350,1.209200e+03,1.214800e+03,0,0,4,5
SPX US 10/20/2017 C1375 Index,1375,1.184300e+03,1.189800e+03,0,0,4,5
SPX US 10/20/2017 C1400 Index,1400,1.159300e+03,1.164800e+03,0,0,4,5
SPX US 10/20/2017 C1425 Index,1425,1.134300e+03,1.139800e+03,0,0,4,5
SPX US 10/20/2017 C1450 Index,1450,1.109300e+03,1.114900e+03,0,0,4,5
SPX US 10/20/2017 C1475 Index,1475,1.084300e+03,1.089900e+03,0,0,4,5
SPX US 10/20/2017 C1500 Index,1500,1.059300e+03,1.064900e+03,0,0,4,5
SPX US 10/20/2017 C1525 Index,1525,1.034300e+03,1.039900e+03,0,0,4,5
SPX US 10/20/2017 C1550 Index,1550,1.009300e+03,1.014900e+03,0,0,4,5
SPX US 10/20/2017 C1575 Index,1575,9.843000e+02,9.899000e+02,0,0,4,5
SPX US 10/20/2017 C1600 Index,1600,9.593000e+02,9.649000e+02,0,0,4,5
SPX US 10/20/2017 C1625 Index,1625,9.343000e+02,9.399000e+02,0,0,4,5
SPX US 10/20/2017 C1650 Index,1650,9.093000e+02,9.149000e+02,0,0,4,5
SPX US 10/20/2017 C1675 Index,1675,8.843000e+02,8.899000e+02,0,0,4,5
SPX US 10/20/2017 C1700 Index,1700,8.593000e+02,8.649000e+02,0,0,4,5
SPX US 10/20/2017 C1710 Index,1710,8.493000e+02,8.549000e+02,0,0,4,5
SPX US 10/20/2017 C1720 Index,1720,8.393000e+02,8.449000e+02,0,0,4,5
SPX US 10/20/2017 C1725 Index,1725,8.343000e+02,8.399000e+02,0,0,4,5
SPX US 10/20/2017 C1730 Index,1730,8.293000e+02,8.349000e+02,0,0,4,5
SPX US 10/20/2017 C1740 Index,1740,8.193000e+02,8.249000e+02,0,0,4,5
SPX US 10/20/2017 C1750 Index,1750,8.093000e+02,8.149000e+02,0,0,4,5
SPX US 10/20/2017 C1760 Index,1760,7.993000e+02,8.049000e+02,0,0,4,5
SPX US 10/20/2017 C1770 Index,1770,7.893000e+02,7.949000e+02,0,0,4,5
SPX US 10/20/2017 C1775 Index,1775,7.843000e+02,7.899000e+02,0,0,4,5
SPX US 10/20/2017 C1780 Index,1780,7.793000e+02,7.849000e+02,0,0,4,5
SPX US 10/20/2017 C1790 Index,1790,7.693000e+02,7.749000e+02,0,0,4,5
SPX US 10/20/2017 C1800 Index,1800,7.593000e+02,7.649000e+02,0,0,4,5
