Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.323510e+03,2.324500e+03,0,0,0,0
SPX US 2/17/2017 C500 Index,500,1.820900e+03,1.824900e+03,0,0,1,1
SPX US 2/17/2017 C600 Index,600,1.720900e+03,1.724900e+03,0,0,1,1
SPX US 2/17/2017 C700 Index,700,1.620700e+03,1.624700e+03,0,0,1,1
SPX US 2/17/2017 C750 Index,750,1.570700e+03,1.574700e+03,0,0,1,1
SPX US 2/17/2017 C800 Index,800,1.520700e+03,1.524700e+03,0,0,1,1
SPX US 2/17/2017 C850 Index,850,1.470700e+03,1.474700e+03,0,0,1,1
SPX US 2/17/2017 C900 Index,900,1.420700e+03,1.424700e+03,0,0,1,1
SPX US 2/17/2017 C950 Index,950,1.370700e+03,1.374700e+03,0,0,1,1
SPX US 2/17/2017 C1000 Index,1000,1.320900e+03,1325,0,0,1,1
SPX US 2/17/2017 C1050 Index,1050,1.270900e+03,1275,0,0,1,1
SPX US 2/17/2017 C1075 Index,1075,1246,1250,0,0,1,1
SPX US 2/17/2017 C1100 Index,1100,1221,1225,0,0,1,1
SPX US 2/17/2017 C1125 Index,1125,1196,1200,0,0,1,1
SPX US 2/17/2017 C1150 Index,1150,1171,1175,0,0,1,1
SPX US 2/17/2017 C1175 Index,1175,1.145800e+03,1.149800e+03,0,0,1,1
SPX US 2/17/2017 C1200 Index,1200,1.120800e+03,1.124800e+03,0,0,1,1
SPX US 2/17/2017 C1225 Index,1225,1.095800e+03,1.099800e+03,0,0,1,1
SPX US 2/17/2017 C1250 Index,1250,1.070800e+03,1.074800e+03,0,0,1,1
SPX US 2/17/2017 C1275 Index,1275,1.045800e+03,1.049800e+03,0,0,1,1
SPX US 2/17/2017 C1300 Index,1300,1.020800e+03,1.024800e+03,0,0,1,1
SPX US 2/17/2017 C1325 Index,1325,9.958000e+02,9.998000e+02,0,0,1,1
SPX US 2/17/2017 C1350 Index,1350,9.708000e+02,9.748000e+02,0,0,1,1
SPX US 2/17/2017 C1360 Index,1360,9.608000e+02,9.648000e+02,0,0,1,1
SPX US 2/17/2017 C1370 Index,1370,9.508000e+02,9.548000e+02,0,0,1,1
SPX US 2/17/2017 C1375 Index,1375,9.458000e+02,9.498000e+02,0,0,1,1
SPX US 2/17/2017 C1380 Index,1380,9.408000e+02,9.448000e+02,0,0,1,1
SPX US 2/17/2017 C1390 Index,1390,931,935,0,0,1,1
SPX US 2/17/2017 C1400 Index,1400,921,925,0,0,1,1
SPX US 2/17/2017 C1410 Index,1410,911,915,0,0,1,1
SPX US 2/17/2017 C1420 Index,1420,901,905,0,0,1,1
SPX US 2/17/2017 C1425 Index,1425,896,900,0,0,1,1
SPX US 2/17/2017 C1430 Index,1430,891,895,0,0,1,1
SPX US 2/17/2017 C1435 Index,1435,886,890,0,0,1,1
SPX US 2/17/2017 C1440 Index,1440,881,885,0,0,1,1
SPX US 2/17/2017 C1445 Index,1445,876,880,0,0,1,1
SPX US 2/17/2017 C1450 Index,1450,871,875,0,0,1,1
SPX US 2/17/2017 C1455 Index,1455,8.658000e+02,8.698000e+02,0,0,1,1
SPX US 2/17/2017 C1460 Index,1460,8.608000e+02,8.648000e+02,0,0,1,1
SPX US 2/17/2017 C1465 Index,1465,8.558000e+02,8.598000e+02,0,0,1,1
SPX US 2/17/2017 C1470 Index,1470,8.508000e+02,8.548000e+02,0,0,1,1
SPX US 2/17/2017 C1475 Index,1475,8.458000e+02,8.498000e+02,0,0,1,1
SPX US 2/17/2017 C1480 Index,1480,8.408000e+02,8.448000e+02,0,0,1,1
SPX US 2/17/2017 C1485 Index,1485,8.358000e+02,8.398000e+02,0,0,1,1
SPX US 2/17/2017 C1490 Index,1490,8.308000e+02,8.348000e+02,0,0,1,1
SPX US 2/17/2017 C1495 Index,1495,8.258000e+02,8.298000e+02,0,0,1,1
SPX US 2/17/2017 C1500 Index,1500,8.208000e+02,8.248000e+02,0,0,1,1
SPX US 2/17/2017 C1505 Index,1505,8.158000e+02,8.198000e+02,0,0,1,1
SPX US 2/17/2017 C1510 Index,1510,8.108000e+02,8.148000e+02,0,0,1,1
SPX US 2/17/2017 C1515 Index,1515,8.058000e+02,8.098000e+02,0,0,1,1
SPX US 2/17/2017 C1520 Index,1520,8.008000e+02,8.048000e+02,0,0,1,1
SPX US 2/17/2017 C1525 Index,1525,7.958000e+02,7.998000e+02,0,0,1,1
SPX US 2/17/2017 C1530 Index,1530,7.908000e+02,7.948000e+02,0,0,1,1
SPX US 2/17/2017 C1535 Index,1535,7.858000e+02,7.898000e+02,0,0,1,1
SPX US 2/17/2017 C1540 Index,1540,7.808000e+02,7.848000e+02,0,0,1,1
SPX US 2/17/2017 C1545 Index,1545,7.758000e+02,7.798000e+02,0,0,1,1
SPX US 2/17/2017 C1550 Index,1550,7.708000e+02,7.748000e+02,0,0,1,1
SPX US 2/17/2017 C1555 Index,1555,7.658000e+02,7.698000e+02,0,0,1,1
SPX US 2/17/2017 C1560 Index,1560,7.608000e+02,7.648000e+02,0,0,1,1
SPX US 2/17/2017 C1565 Index,1565,7.558000e+02,7.598000e+02,0,0,1,1
SPX US 2/17/2017 C1570 Index,1570,7.508000e+02,7.548000e+02,0,0,1,1
SPX US 2/17/2017 C1575 Index,1575,7.458000e+02,7.498000e+02,0,0,1,1
SPX US 2/17/2017 C1580 Index,1580,7.408000e+02,7.448000e+02,0,0,1,1
SPX US 2/17/2017 C1585 Index,1585,7.358000e+02,7.398000e+02,0,0,1,1
SPX US 2/17/2017 C1590 Index,1590,7.308000e+02,7.348000e+02,0,0,1,1
SPX US 2/17/2017 C1595 Index,1595,7.258000e+02,7.298000e+02,0,0,1,1
SPX US 2/17/2017 C1600 Index,1600,7.208000e+02,7.248000e+02,0,0,1,1
SPX US 2/17/2017 C1605 Index,1605,7.158000e+02,7.198000e+02,0,0,1,1
SPX US 2/17/2017 C1610 Index,1610,7.108000e+02,7.148000e+02,0,0,1,1
SPX US 2/17/2017 C1615 Index,1615,7.058000e+02,7.098000e+02,0,0,1,1
SPX US 2/17/2017 C1620 Index,1620,7.008000e+02,7.048000e+02,0,0,1,1
SPX US 2/17/2017 C1625 Index,1625,6.958000e+02,6.998000e+02,0,0,1,1
SPX US 2/17/2017 C1630 Index,1630,6.908000e+02,6.948000e+02,0,0,1,1
SPX US 2/17/2017 C1635 Index,1635,6.858000e+02,6.898000e+02,0,0,1,1
SPX US 2/17/2017 C1640 Index,1640,6.808000e+02,6.848000e+02,0,0,1,1
SPX US 2/17/2017 C1645 Index,1645,6.758000e+02,6.798000e+02,0,0,1,1
SPX US 2/17/2017 C1650 Index,1650,6.708000e+02,6.748000e+02,0,0,1,1
SPX US 2/17/2017 C1655 Index,1655,6.658000e+02,6.698000e+02,0,0,1,1
SPX US 2/17/2017 C1660 Index,1660,6.608000e+02,6.648000e+02,0,0,1,1
SPX US 2/17/2017 C1665 Index,1665,6.558000e+02,6.598000e+02,0,0,1,1
SPX US 2/17/2017 C1670 Index,1670,6.508000e+02,6.548000e+02,0,0,1,1
SPX US 2/17/2017 C1675 Index,1675,6.458000e+02,6.498000e+02,0,0,1,1
SPX US 2/17/2017 C1680 Index,1680,6.408000e+02,6.448000e+02,0,0,1,1
SPX US 2/17/2017 C1685 Index,1685,6.358000e+02,6.398000e+02,0,0,1,1
SPX US 2/17/2017 C1690 Index,1690,6.308000e+02,6.348000e+02,0,0,1,1
SPX US 2/17/2017 C1695 Index,1695,6.258000e+02,6.298000e+02,0,0,1,1
SPX US 2/17/2017 C1700 Index,1700,6.208000e+02,6.248000e+02,0,0,1,1
SPX US 2/17/2017 C1705 Index,1705,6.158000e+02,6.198000e+02,0,0,1,1
SPX US 2/17/2017 C1710 Index,1710,6.108000e+02,6.148000e+02,0,0,1,1
SPX US 2/17/2017 C1715 Index,1715,6.058000e+02,6.098000e+02,0,0,1,1
SPX US 2/17/2017 C1720 Index,1720,6.008000e+02,6.048000e+02,0,0,1,1
SPX US 2/17/2017 C1725 Index,1725,5.958000e+02,5.998000e+02,0,0,1,1
SPX US 2/17/2017 C1730 Index,1730,5.908000e+02,5.948000e+02,0,0,1,1
SPX US 2/17/2017 C1735 Index,1735,5.861000e+02,590,0,0,1,1
