Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.366170e+03,2.367240e+03,0,0,0,0
ESH7 Index,0,2.365750e+03,2366,0,1,356,3
SPX US 3/17/2017 C300 Index,300,2.058400e+03,2.070500e+03,0,0,1,1
SPX US 3/17/2017 C400 Index,400,1.958500e+03,1.970500e+03,0,0,1,1
SPX US 3/17/2017 C500 Index,500,1.858500e+03,1.870600e+03,0,0,1,1
SPX US 3/17/2017 C600 Index,600,1.758600e+03,1.770700e+03,0,0,1,1
SPX US 3/17/2017 C700 Index,700,1.658600e+03,1.670700e+03,0,0,1,1
SPX US 3/17/2017 C750 Index,750,1.608700e+03,1.620700e+03,0,0,1,1
SPX US 3/17/2017 C800 Index,800,1.558700e+03,1.570800e+03,0,0,1,1
SPX US 3/17/2017 C850 Index,850,1.508700e+03,1.520800e+03,0,0,1,1
SPX US 3/17/2017 C900 Index,900,1.458700e+03,1.470800e+03,0,0,1,1
SPX US 3/17/2017 C950 Index,950,1.408800e+03,1.420900e+03,0,0,1,1
SPX US 3/17/2017 C1000 Index,1000,1.358800e+03,1.370900e+03,0,0,1,1
SPX US 3/17/2017 C1025 Index,1025,1.333800e+03,1.345900e+03,0,0,1,1
SPX US 3/17/2017 C1050 Index,1050,1.308800e+03,1.320900e+03,0,0,1,1
SPX US 3/17/2017 C1075 Index,1075,1.283800e+03,1.295900e+03,0,0,1,1
SPX US 3/17/2017 C1100 Index,1100,1.258900e+03,1.270900e+03,0,0,1,1
SPX US 3/17/2017 C1125 Index,1125,1.233900e+03,1246,0,0,1,1
SPX US 3/17/2017 C1150 Index,1150,1.208900e+03,1221,0,0,1,1
SPX US 3/17/2017 C1175 Index,1175,1.183900e+03,1196,0,0,1,1
SPX US 3/17/2017 C1200 Index,1200,1.158900e+03,1171,0,0,1,1
SPX US 3/17/2017 C1225 Index,1225,1.133900e+03,1146,0,0,1,1
SPX US 3/17/2017 C1250 Index,1250,1.108900e+03,1121,0,0,1,1
SPX US 3/17/2017 C1275 Index,1275,1084,1096,0,0,1,1
SPX US 3/17/2017 C1300 Index,1300,1059,1.071100e+03,0,0,1,1
SPX US 3/17/2017 C1325 Index,1325,1034,1.046100e+03,0,0,1,1
SPX US 3/17/2017 C1350 Index,1350,1009,1.021100e+03,0,0,1,1
SPX US 3/17/2017 C1375 Index,1375,9.841000e+02,9.962000e+02,0,0,1,1
SPX US 3/17/2017 C1400 Index,1400,959,9.711000e+02,0,0,1,1
SPX US 3/17/2017 C1420 Index,1420,939,9.511000e+02,0,0,1,1
SPX US 3/17/2017 C1425 Index,1425,9.341000e+02,9.462000e+02,0,0,1,1
SPX US 3/17/2017 C1440 Index,1440,9.191000e+02,9.311000e+02,0,0,1,1
SPX US 3/17/2017 C1450 Index,1450,9.091000e+02,9.212000e+02,0,0,1,1
SPX US 3/17/2017 C1460 Index,1460,8.991000e+02,9.112000e+02,0,0,1,1
SPX US 3/17/2017 C1470 Index,1470,8.891000e+02,9.012000e+02,0,0,1,1
SPX US 3/17/2017 C1475 Index,1475,8.841000e+02,8.962000e+02,0,0,1,1
SPX US 3/17/2017 C1480 Index,1480,8.791000e+02,8.912000e+02,0,0,1,1
SPX US 3/17/2017 C1485 Index,1485,8.741000e+02,8.862000e+02,0,0,1,1
SPX US 3/17/2017 C1490 Index,1490,8.691000e+02,8.812000e+02,0,0,1,1
SPX US 3/17/2017 C1495 Index,1495,8.641000e+02,8.762000e+02,0,0,1,1
SPX US 3/17/2017 C1500 Index,1500,8.591000e+02,8.712000e+02,0,0,1,1
SPX US 3/17/2017 C1505 Index,1505,8.541000e+02,8.662000e+02,0,0,1,1
SPX US 3/17/2017 C1510 Index,1510,8.491000e+02,8.612000e+02,0,0,1,1
SPX US 3/17/2017 C1515 Index,1515,8.441000e+02,8.562000e+02,0,0,1,1
SPX US 3/17/2017 C1520 Index,1520,8.391000e+02,8.512000e+02,0,0,1,1
SPX US 3/17/2017 C1525 Index,1525,8.341000e+02,8.462000e+02,0,0,1,1
SPX US 3/17/2017 C1530 Index,1530,8.291000e+02,8.412000e+02,0,0,1,1
SPX US 3/17/2017 C1535 Index,1535,8.241000e+02,8.362000e+02,0,0,1,1
SPX US 3/17/2017 C1540 Index,1540,8.191000e+02,8.312000e+02,0,0,1,1
SPX US 3/17/2017 C1545 Index,1545,8.141000e+02,8.262000e+02,0,0,1,1
SPX US 3/17/2017 C1550 Index,1550,8.091000e+02,8.212000e+02,0,0,1,1
