Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.477350e+03,2.478370e+03,0,0,0,0
ESZ7 Index,0,2.473250e+03,2.473750e+03,0,1,2,4
SPX US 12/15/2017 C100 Index,100,2.348700e+03,2.368500e+03,0,0,1,1
SPX US 12/15/2017 C200 Index,200,2.249500e+03,2.269200e+03,0,0,1,1
SPX US 12/15/2017 C300 Index,300,2.150200e+03,2.169800e+03,0,0,1,1
SPX US 12/15/2017 C400 Index,400,2.050900e+03,2.070500e+03,0,0,1,1
SPX US 12/15/2017 C500 Index,500,1.951500e+03,1.971200e+03,0,0,1,1
SPX US 12/15/2017 C550 Index,550,1.901800e+03,1.921400e+03,0,0,1,1
SPX US 12/15/2017 C600 Index,600,1.852100e+03,1.871700e+03,0,0,1,1
SPX US 12/15/2017 C650 Index,650,1.802400e+03,1822,0,0,1,1
SPX US 12/15/2017 C700 Index,700,1.752800e+03,1.772500e+03,0,0,1,1
SPX US 12/15/2017 C750 Index,750,1703,1.722700e+03,0,0,1,1
SPX US 12/15/2017 C800 Index,800,1.653300e+03,1673,0,0,1,1
SPX US 12/15/2017 C825 Index,825,1.628600e+03,1.648200e+03,0,0,1,1
SPX US 12/15/2017 C850 Index,850,1.603700e+03,1.623300e+03,0,0,1,1
SPX US 12/15/2017 C875 Index,875,1.578900e+03,1.598600e+03,0,0,1,1
SPX US 12/15/2017 C900 Index,900,1554,1.573800e+03,0,0,1,1
SPX US 12/15/2017 C925 Index,925,1.529200e+03,1.548800e+03,0,0,1,1
SPX US 12/15/2017 C950 Index,950,1.504400e+03,1524,0,0,1,1
SPX US 12/15/2017 C975 Index,975,1.479500e+03,1.499100e+03,0,0,1,1
SPX US 12/15/2017 C1000 Index,1000,1.454700e+03,1.474400e+03,0,0,1,1
SPX US 12/15/2017 C1025 Index,1025,1.429800e+03,1.449500e+03,0,0,2,1
SPX US 12/15/2017 C1050 Index,1050,1.405100e+03,1.424700e+03,0,0,1,1
SPX US 12/15/2017 C1075 Index,1075,1.380200e+03,1.399900e+03,0,0,1,1
SPX US 12/15/2017 C1100 Index,1100,1.355400e+03,1375,0,0,1,1
SPX US 12/15/2017 C1125 Index,1125,1.330600e+03,1.350100e+03,0,0,1,1
SPX US 12/15/2017 C1150 Index,1150,1.305800e+03,1.325400e+03,0,0,1,1
