Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.467320e+03,2.468670e+03,0,0,0,0
SPX US 8/18/2017 C1000 Index,1000,1.456700e+03,1.474100e+03,0,0,1,1
SPX US 8/18/2017 C1100 Index,1100,1.356700e+03,1.374200e+03,0,0,1,1
SPX US 8/18/2017 C1175 Index,1175,1.281800e+03,1.299400e+03,0,0,1,1
SPX US 8/18/2017 C1200 Index,1200,1.256800e+03,1275,0,0,1,1
SPX US 8/18/2017 C1225 Index,1225,1.231800e+03,1.249300e+03,0,0,1,1
SPX US 8/18/2017 C1250 Index,1250,1.206900e+03,1.225100e+03,0,0,1,1
SPX US 8/18/2017 C1275 Index,1275,1.181900e+03,1.200100e+03,0,0,1,1
SPX US 8/18/2017 C1300 Index,1300,1.156900e+03,1.175100e+03,0,0,1,1
SPX US 8/18/2017 C1325 Index,1325,1.131900e+03,1.150100e+03,0,0,1,1
SPX US 8/18/2017 C1350 Index,1350,1.106900e+03,1.125200e+03,0,0,1,1
SPX US 8/18/2017 C1375 Index,1375,1082,1.099400e+03,0,0,1,1
SPX US 8/18/2017 C1400 Index,1400,1057,1.074400e+03,0,0,1,1
SPX US 8/18/2017 C1425 Index,1425,1032,1.049500e+03,0,0,1,1
SPX US 8/18/2017 C1450 Index,1450,1007,1.025300e+03,0,0,1,1
SPX US 8/18/2017 C1475 Index,1475,982,1.000300e+03,0,0,1,1
SPX US 8/18/2017 C1500 Index,1500,9.571000e+02,9.745000e+02,0,0,1,1
SPX US 8/18/2017 C1525 Index,1525,9.321000e+02,9.496000e+02,0,0,1,1
SPX US 8/18/2017 C1550 Index,1550,9.071000e+02,9.254000e+02,0,0,1,1
SPX US 8/18/2017 C1575 Index,1575,8.821000e+02,8.996000e+02,0,0,1,1
SPX US 8/18/2017 C1600 Index,1600,8.571000e+02,8.747000e+02,0,0,1,1
SPX US 8/18/2017 C1625 Index,1625,8.322000e+02,8.504000e+02,0,0,1,1
SPX US 8/18/2017 C1650 Index,1650,8.072000e+02,826,0,0,1,1
SPX US 8/18/2017 C1675 Index,1675,7.822000e+02,7.997000e+02,0,0,1,1
SPX US 8/18/2017 C1680 Index,1680,7.772000e+02,7.948000e+02,0,0,1,1
SPX US 8/18/2017 C1690 Index,1690,7.672000e+02,7.848000e+02,0,0,1,1
SPX US 8/18/2017 C1700 Index,1700,7.572000e+02,7.755000e+02,0,0,1,1
SPX US 8/18/2017 C1710 Index,1710,7.472000e+02,7.656000e+02,0,0,1,1
SPX US 8/18/2017 C1720 Index,1720,7.372000e+02,7.556000e+02,0,0,1,1
SPX US 8/18/2017 C1725 Index,1725,7.322000e+02,7.498000e+02,0,0,1,1
SPX US 8/18/2017 C1730 Index,1730,7.272000e+02,7.453000e+02,0,0,1,1
SPX US 8/18/2017 C1740 Index,1740,7.173000e+02,7.354000e+02,0,0,1,1
SPX US 8/18/2017 C1750 Index,1750,7.073000e+02,7.249000e+02,0,0,1,1
SPX US 8/18/2017 C1760 Index,1760,6.973000e+02,7.149000e+02,0,0,1,1
SPX US 8/18/2017 C1770 Index,1770,6.873000e+02,7.049000e+02,0,0,1,1
SPX US 8/18/2017 C1775 Index,1775,6.823000e+02,6.999000e+02,0,0,1,1
SPX US 8/18/2017 C1780 Index,1780,6.773000e+02,6.957000e+02,0,0,1,1
SPX US 8/18/2017 C1790 Index,1790,6.673000e+02,6.849000e+02,0,0,1,1
SPX US 8/18/2017 P1790 Index,1790,5.000000e-02,2.500000e-01,1,0,140,200
SPX US 8/18/2017 C1800 Index,1800,6.573000e+02,6.762000e+02,0,0,1,1
SPX US 8/18/2017 P1800 Index,1800,5.000000e-02,2.500000e-01,1,0,140,180
SPX US 8/18/2017 C1810 Index,1810,6.473000e+02,6.662000e+02,0,0,1,1
SPX US 8/18/2017 P1810 Index,1810,5.000000e-02,2.500000e-01,1,0,140,180
SPX US 8/18/2017 C1820 Index,1820,6.373000e+02,655,0,0,1,1
SPX US 8/18/2017 P1820 Index,1820,5.000000e-02,2.500000e-01,1,0,140,120
SPX US 8/18/2017 C1825 Index,1825,6.323000e+02,6.507000e+02,0,0,1,1
SPX US 8/18/2017 P1825 Index,1825,5.000000e-02,2.500000e-01,1,0,140,120
SPX US 8/18/2017 C1830 Index,1830,6.273000e+02,645,0,0,1,1
SPX US 8/18/2017 C1840 Index,1840,6.173000e+02,635,0,0,1,1
SPX US 8/18/2017 P1840 Index,1840,1.000000e-01,3.000000e-01,1,0,120,220
SPX US 8/18/2017 C1850 Index,1850,6.074000e+02,6.258000e+02,0,0,1,1
