Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.475750e+03,2.476680e+03,0,0,0,0
SPX US 8/18/2017 C1000 Index,1000,1.463200e+03,1.482500e+03,0,0,1,1
SPX US 8/18/2017 C1100 Index,1100,1.362700e+03,1.382600e+03,0,0,2,1
SPX US 8/18/2017 C1175 Index,1175,1.287800e+03,1.307700e+03,0,0,2,1
SPX US 8/18/2017 C1200 Index,1200,1.262800e+03,1.282700e+03,0,0,2,1
SPX US 8/18/2017 C1225 Index,1225,1.238500e+03,1.257800e+03,0,0,1,1
SPX US 8/18/2017 C1250 Index,1250,1.212900e+03,1.232800e+03,0,0,1,1
SPX US 8/18/2017 C1275 Index,1275,1.188400e+03,1.207800e+03,0,0,1,1
SPX US 8/18/2017 C1300 Index,1300,1.163600e+03,1.182900e+03,0,0,1,1
SPX US 8/18/2017 C1325 Index,1325,1138,1.157900e+03,0,0,1,1
SPX US 8/18/2017 C1350 Index,1350,1.113400e+03,1.132900e+03,0,0,1,1
SPX US 8/18/2017 C1375 Index,1375,1.088700e+03,1108,0,0,1,1
SPX US 8/18/2017 C1400 Index,1400,1.063100e+03,1083,0,0,1,1
SPX US 8/18/2017 C1425 Index,1425,1.038100e+03,1058,0,0,2,1
SPX US 8/18/2017 C1450 Index,1450,1.013800e+03,1.033100e+03,0,0,1,1
SPX US 8/18/2017 C1475 Index,1475,9.882000e+02,1.008100e+03,0,0,1,1
SPX US 8/18/2017 C1500 Index,1500,9.632000e+02,9.832000e+02,0,0,2,1
SPX US 8/18/2017 C1525 Index,1525,9.389000e+02,9.582000e+02,0,0,1,1
SPX US 8/18/2017 C1550 Index,1550,9.133000e+02,9.332000e+02,0,0,1,1
SPX US 8/18/2017 C1575 Index,1575,8.883000e+02,9.083000e+02,0,0,2,1
SPX US 8/18/2017 C1600 Index,1600,8.634000e+02,8.833000e+02,0,0,1,1
SPX US 8/18/2017 C1625 Index,1625,8.384000e+02,8.583000e+02,0,0,2,1
SPX US 8/18/2017 C1650 Index,1650,8.141000e+02,8.334000e+02,0,0,1,1
SPX US 8/18/2017 C1675 Index,1675,7.889000e+02,8.084000e+02,0,0,1,1
SPX US 8/18/2017 C1680 Index,1680,784,8.034000e+02,0,0,1,1
SPX US 8/18/2017 C1690 Index,1690,7.735000e+02,7.935000e+02,0,0,1,1
SPX US 8/18/2017 C1700 Index,1700,7.635000e+02,7.835000e+02,0,0,1,1
SPX US 8/18/2017 C1710 Index,1710,7.536000e+02,7.735000e+02,0,0,1,1
SPX US 8/18/2017 C1720 Index,1720,7.442000e+02,7.635000e+02,0,0,1,1
SPX US 8/18/2017 C1725 Index,1725,7.391000e+02,7.585000e+02,0,0,1,1
SPX US 8/18/2017 C1730 Index,1730,7.341000e+02,7.535000e+02,0,0,1,1
SPX US 8/18/2017 C1740 Index,1740,7.243000e+02,7.436000e+02,0,0,1,1
SPX US 8/18/2017 C1750 Index,1750,7.136000e+02,7.336000e+02,0,0,1,1
SPX US 8/18/2017 C1760 Index,1760,7.036000e+02,7.236000e+02,0,0,1,1
SPX US 8/18/2017 C1770 Index,1770,6.943000e+02,7.136000e+02,0,0,1,1
SPX US 8/18/2017 C1775 Index,1775,6.893000e+02,7.086000e+02,0,0,1,1
SPX US 8/18/2017 P1775 Index,1775,5.000000e-02,3.000000e-01,1,0,45,120
SPX US 8/18/2017 C1780 Index,1780,6.841000e+02,7.036000e+02,0,0,1,1
SPX US 8/18/2017 C1790 Index,1790,6.737000e+02,6.936000e+02,0,0,1,1
SPX US 8/18/2017 C1800 Index,1800,6.636000e+02,6.837000e+02,0,0,1,1
SPX US 8/18/2017 P1800 Index,1800,5.000000e-02,3.500000e-01,1,0,25,200
SPX US 8/18/2017 C1810 Index,1810,6.537000e+02,6.737000e+02,0,0,1,1
SPX US 8/18/2017 C1820 Index,1820,6.437000e+02,6.637000e+02,0,0,1,1
SPX US 8/18/2017 P1820 Index,1820,0,3.500000e-01,1,0,0,180
SPX US 8/18/2017 C1825 Index,1825,6.394000e+02,6.587000e+02,0,0,1,1
SPX US 8/18/2017 P1825 Index,1825,5.000000e-02,3.500000e-01,1,0,51,120
SPX US 8/18/2017 C1830 Index,1830,6.337000e+02,6.537000e+02,0,0,1,1
SPX US 8/18/2017 C1840 Index,1840,6.243000e+02,6.438000e+02,0,0,1,1
SPX US 8/18/2017 P1840 Index,1840,5.000000e-02,3.500000e-01,1,0,40,120
SPX US 8/18/2017 C1850 Index,1850,6.139000e+02,6.338000e+02,0,0,1,1
SPX US 8/18/2017 C1860 Index,1860,6.039000e+02,6.238000e+02,0,0,1,1
SPX US 8/18/2017 P1860 Index,1860,5.000000e-02,4.000000e-01,1,0,40,200
SPX US 8/18/2017 C1870 Index,1870,5.945000e+02,6.138000e+02,0,0,1,1
SPX US 8/18/2017 P1870 Index,1870,5.000000e-02,4.000000e-01,1,0,90,180
SPX US 8/18/2017 C1875 Index,1875,5.894000e+02,6.088000e+02,0,0,1,1
SPX US 8/18/2017 C1880 Index,1880,5.845000e+02,6.038000e+02,0,0,1,1
SPX US 8/18/2017 P1880 Index,1880,1.000000e-01,4.000000e-01,1,0,40,140
SPX US 8/18/2017 C1890 Index,1890,5.744000e+02,5.939000e+02,0,0,1,1
