Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2394.48,2395.45,0,0,0,0
SPX US 6/16/2017 C300 Index,300,2084.10,2102.10,0,0,1,1
SPX US 6/16/2017 C400 Index,400,1984.20,2002.20,0,0,1,1
SPX US 6/16/2017 C500 Index,500,1884.20,1902.30,0,0,1,1
SPX US 6/16/2017 C600 Index,600,1784.30,1802.40,0,0,1,1
SPX US 6/16/2017 C700 Index,700,1684.40,1702.50,0,0,1,1
SPX US 6/16/2017 C750 Index,750,1634.40,1652.50,0,0,1,1
SPX US 6/16/2017 C800 Index,800,1584.50,1602.60,0,0,1,1
SPX US 6/16/2017 C850 Index,850,1534.50,1552.60,0,0,1,1
SPX US 6/16/2017 C900 Index,900,1484.60,1502.60,0,0,1,1
SPX US 6/16/2017 C925 Index,925,1459.60,1478.30,0,0,1,1
SPX US 6/16/2017 C950 Index,950,1434.60,1453.40,0,0,1,2
SPX US 6/16/2017 C975 Index,975,1409.60,1428.40,0,0,1,2
SPX US 6/16/2017 C1000 Index,1000,1384.60,1403.40,0,0,1,2
SPX US 6/16/2017 C1025 Index,1025,1359.70,1378.40,0,0,1,1
SPX US 6/16/2017 C1050 Index,1050,1334.70,1353.50,0,0,1,2
SPX US 6/16/2017 C1075 Index,1075,1309.70,1328.50,0,0,1,2
SPX US 6/16/2017 C1100 Index,1100,1284.70,1303.50,0,0,1,2
SPX US 6/16/2017 C1125 Index,1125,1259.70,1278.50,0,0,1,1
SPX US 6/16/2017 C1150 Index,1150,1234.80,1253.60,0,0,1,2
SPX US 6/16/2017 C1175 Index,1175,1209.80,1228.60,0,0,1,2
SPX US 6/16/2017 C1200 Index,1200,1184.80,1203.60,0,0,1,2
SPX US 6/16/2017 C1225 Index,1225,1159.80,1178.60,0,0,1,1
SPX US 6/16/2017 C1250 Index,1250,1134.80,1153.70,0,0,1,2
SPX US 6/16/2017 C1275 Index,1275,1109.90,1128.70,0,0,1,2
SPX US 6/16/2017 C1300 Index,1300,1084.90,1103.70,0,0,1,2
SPX US 6/16/2017 C1325 Index,1325,1059.90,1078.70,0,0,1,1
SPX US 6/16/2017 C1350 Index,1350,1034.90,1053.50,0,0,1,1
SPX US 6/16/2017 C1375 Index,1375,1009.90,1028.80,0,0,1,2
SPX US 6/16/2017 C1400 Index,1400,985.00,1003.80,0,0,1,2
SPX US 6/16/2017 C1425 Index,1425,960.00,978.80,0,0,1,1
SPX US 6/16/2017 C1450 Index,1450,935.00,953.60,0,0,1,1
SPX US 6/16/2017 C1470 Index,1470,915.00,933.90,0,0,1,2
SPX US 6/16/2017 C1475 Index,1475,910.00,928.90,0,0,1,2
SPX US 6/16/2017 C1500 Index,1500,885.00,903.90,0,0,1,1
SPX US 6/16/2017 C1525 Index,1525,860.10,879.00,0,0,1,2
SPX US 6/16/2017 C1540 Index,1540,845.10,863.70,0,0,1,1
SPX US 6/16/2017 C1550 Index,1550,835.10,854.00,0,0,1,2
SPX US 6/16/2017 C1560 Index,1560,825.10,844.00,0,0,1,2
SPX US 6/16/2017 C1570 Index,1570,815.10,834.00,0,0,1,2
