Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.572980e+03,2.574240e+03,0,0,0,0
SPX US 11/17/2017 C1000 Index,1000,1.569200e+03,1.574900e+03,0,0,5,6
SPX US 11/17/2017 C1100 Index,1100,1.469200e+03,1.474900e+03,0,0,5,6
SPX US 11/17/2017 C1200 Index,1200,1.369200e+03,1.374900e+03,0,0,5,6
SPX US 11/17/2017 C1250 Index,1250,1.319200e+03,1.324900e+03,0,0,5,6
SPX US 11/17/2017 C1275 Index,1275,1.294200e+03,1.299900e+03,0,0,6,5
SPX US 11/17/2017 C1300 Index,1300,1.269200e+03,1.274900e+03,0,0,5,6
SPX US 11/17/2017 C1325 Index,1325,1.244200e+03,1.249900e+03,0,0,5,6
SPX US 11/17/2017 C1350 Index,1350,1.219200e+03,1.224900e+03,0,0,5,6
SPX US 11/17/2017 C1375 Index,1375,1.194200e+03,1.199900e+03,0,0,5,6
SPX US 11/17/2017 C1400 Index,1400,1.169300e+03,1.174900e+03,0,0,5,6
SPX US 11/17/2017 C1425 Index,1425,1.144300e+03,1.149900e+03,0,0,6,5
SPX US 11/17/2017 C1450 Index,1450,1.119300e+03,1.124900e+03,0,0,6,5
SPX US 11/17/2017 C1475 Index,1475,1.094300e+03,1.099900e+03,0,0,6,5
SPX US 11/17/2017 C1500 Index,1500,1.069300e+03,1.074900e+03,0,0,6,5
SPX US 11/17/2017 C1525 Index,1525,1.044300e+03,1.049900e+03,0,0,6,5
SPX US 11/17/2017 C1550 Index,1550,1.019300e+03,1.024900e+03,0,0,6,5
SPX US 11/17/2017 C1575 Index,1575,9.943000e+02,9.999000e+02,0,0,6,5
SPX US 11/17/2017 C1600 Index,1600,9.693000e+02,9.749000e+02,0,0,6,5
SPX US 11/17/2017 C1625 Index,1625,9.443000e+02,9.499000e+02,0,0,6,5
SPX US 11/17/2017 C1650 Index,1650,9.193000e+02,925,0,0,6,5
SPX US 11/17/2017 C1675 Index,1675,8.943000e+02,900,0,0,5,6
SPX US 11/17/2017 C1700 Index,1700,8.693000e+02,875,0,0,5,6
SPX US 11/17/2017 C1710 Index,1710,8.593000e+02,865,0,0,5,6
SPX US 11/17/2017 C1720 Index,1720,8.493000e+02,855,0,0,5,6
