Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.502140e+03,2.503400e+03,0,0,0,0
SPX US 10/20/2017 C1000 Index,1000,1.490400e+03,1.510200e+03,0,0,1,1
SPX US 10/20/2017 C1100 Index,1100,1.390500e+03,1.410300e+03,0,0,1,1
SPX US 10/20/2017 C1200 Index,1200,1.290600e+03,1.310400e+03,0,0,1,1
SPX US 10/20/2017 C1225 Index,1225,1.265600e+03,1.285400e+03,0,0,1,1
SPX US 10/20/2017 C1250 Index,1250,1.240700e+03,1.260500e+03,0,0,1,1
SPX US 10/20/2017 C1275 Index,1275,1.215700e+03,1.235500e+03,0,0,1,1
SPX US 10/20/2017 C1300 Index,1300,1.190700e+03,1.210500e+03,0,0,1,1
SPX US 10/20/2017 C1325 Index,1325,1.165800e+03,1.185500e+03,0,0,1,1
SPX US 10/20/2017 C1350 Index,1350,1.140800e+03,1.160600e+03,0,0,1,1
SPX US 10/20/2017 C1375 Index,1375,1.115800e+03,1.135600e+03,0,0,1,1
SPX US 10/20/2017 C1400 Index,1400,1.090800e+03,1.110600e+03,0,0,1,1
SPX US 10/20/2017 C1425 Index,1425,1.065900e+03,1.085600e+03,0,0,1,1
SPX US 10/20/2017 C1450 Index,1450,1.040900e+03,1.060600e+03,0,0,1,1
SPX US 10/20/2017 C1475 Index,1475,1.015900e+03,1.035700e+03,0,0,1,1
SPX US 10/20/2017 C1500 Index,1500,991,1.010700e+03,0,0,1,1
SPX US 10/20/2017 C1525 Index,1525,966,9.857000e+02,0,0,1,1
SPX US 10/20/2017 C1550 Index,1550,941,9.607000e+02,0,0,1,1
SPX US 10/20/2017 C1575 Index,1575,916,9.358000e+02,0,0,1,1
SPX US 10/20/2017 C1600 Index,1600,8.911000e+02,9.108000e+02,0,0,1,1
SPX US 10/20/2017 C1625 Index,1625,8.661000e+02,8.858000e+02,0,0,1,1
SPX US 10/20/2017 C1650 Index,1650,8.411000e+02,8.608000e+02,0,0,1,1
SPX US 10/20/2017 C1675 Index,1675,8.162000e+02,8.359000e+02,0,0,1,1
SPX US 10/20/2017 C1700 Index,1700,7.912000e+02,8.109000e+02,0,0,1,1
SPX US 10/20/2017 C1710 Index,1710,7.812000e+02,8.009000e+02,0,0,1,1
SPX US 10/20/2017 C1720 Index,1720,7.712000e+02,7.909000e+02,0,0,1,1
SPX US 10/20/2017 C1725 Index,1725,7.662000e+02,7.859000e+02,0,0,1,1
SPX US 10/20/2017 C1730 Index,1730,7.612000e+02,7.809000e+02,0,0,1,1
