Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.464860e+03,2.465930e+03,0,0,0,0
ESU7 Index,0,2.464750e+03,2465,0,1,163,419
SPX US 9/15/2017 C300 Index,300,2.161200e+03,2.166800e+03,0,0,10,9
SPX US 9/15/2017 C400 Index,400,2.061200e+03,2.066800e+03,0,0,9,10
SPX US 9/15/2017 C500 Index,500,1.961300e+03,1.966800e+03,0,0,9,10
SPX US 9/15/2017 C600 Index,600,1.861300e+03,1.866900e+03,0,0,9,10
SPX US 9/15/2017 C700 Index,700,1.761300e+03,1.766900e+03,0,0,10,9
SPX US 9/15/2017 C750 Index,750,1.711400e+03,1.716900e+03,0,0,10,9
SPX US 9/15/2017 C800 Index,800,1.661400e+03,1.666900e+03,0,0,10,9
SPX US 9/15/2017 C850 Index,850,1.611400e+03,1.616900e+03,0,0,10,9
SPX US 9/15/2017 C900 Index,900,1.561400e+03,1567,0,0,10,9
SPX US 9/15/2017 C925 Index,925,1.536400e+03,1542,0,0,10,9
SPX US 9/15/2017 C950 Index,950,1.511400e+03,1517,0,0,10,9
SPX US 9/15/2017 C975 Index,975,1.486400e+03,1492,0,0,9,10
SPX US 9/15/2017 C1000 Index,1000,1.461500e+03,1467,0,0,9,10
SPX US 9/15/2017 C1025 Index,1025,1.436500e+03,1442,0,0,9,10
SPX US 9/15/2017 C1050 Index,1050,1.411500e+03,1417,0,0,9,10
SPX US 9/15/2017 C1075 Index,1075,1.386500e+03,1392,0,0,10,9
SPX US 9/15/2017 C1100 Index,1100,1.361500e+03,1367,0,0,10,9
SPX US 9/15/2017 C1125 Index,1125,1.336500e+03,1342,0,0,10,9
SPX US 9/15/2017 C1150 Index,1150,1.311500e+03,1317,0,0,10,9
SPX US 9/15/2017 C1175 Index,1175,1.286500e+03,1292,0,0,10,9
SPX US 9/15/2017 C1200 Index,1200,1.261500e+03,1.267100e+03,0,0,10,9
SPX US 9/15/2017 C1225 Index,1225,1.236500e+03,1.242100e+03,0,0,10,9
SPX US 9/15/2017 C1250 Index,1250,1.211500e+03,1.217100e+03,0,0,10,9
SPX US 9/15/2017 C1275 Index,1275,1.186600e+03,1.192100e+03,0,0,10,9
SPX US 9/15/2017 C1300 Index,1300,1.161600e+03,1.167100e+03,0,0,10,9
SPX US 9/15/2017 C1325 Index,1325,1.136600e+03,1.142100e+03,0,0,10,9
SPX US 9/15/2017 C1350 Index,1350,1.111600e+03,1.117100e+03,0,0,10,9
SPX US 9/15/2017 C1375 Index,1375,1.086600e+03,1.092100e+03,0,0,10,9
SPX US 9/15/2017 C1400 Index,1400,1.061600e+03,1.067100e+03,0,0,10,9
SPX US 9/15/2017 C1425 Index,1425,1.036600e+03,1.042100e+03,0,0,10,9
SPX US 9/15/2017 C1450 Index,1450,1.011600e+03,1.017100e+03,0,0,10,9
SPX US 9/15/2017 C1475 Index,1475,9.866000e+02,9.922000e+02,0,0,10,9
SPX US 9/15/2017 C1500 Index,1500,9.616000e+02,9.672000e+02,0,0,10,9
SPX US 9/15/2017 C1525 Index,1525,9.367000e+02,9.422000e+02,0,0,10,9
SPX US 9/15/2017 C1550 Index,1550,9.117000e+02,9.172000e+02,0,0,10,9
SPX US 9/15/2017 C1575 Index,1575,8.867000e+02,8.922000e+02,0,0,10,9
SPX US 9/15/2017 C1600 Index,1600,8.617000e+02,8.672000e+02,0,0,10,9
SPX US 9/15/2017 C1610 Index,1610,8.517000e+02,8.572000e+02,0,0,10,9
