Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.440970e+03,2.441940e+03,0,0,0,0
ESH8 Index,0,2.435250e+03,2438,0,1,7,7
SPX US 3/16/2018 C1000 Index,1000,1.420900e+03,1.427200e+03,0,0,10,9
SPX US 3/16/2018 C1100 Index,1100,1.321900e+03,1.328200e+03,0,0,10,9
SPX US 3/16/2018 C1200 Index,1200,1.223100e+03,1.229300e+03,0,0,10,9
SPX US 3/16/2018 C1225 Index,1225,1.198400e+03,1.204500e+03,0,0,10,9
SPX US 3/16/2018 C1250 Index,1250,1.173800e+03,1.179800e+03,0,0,10,9
SPX US 3/16/2018 C1275 Index,1275,1.149100e+03,1.155100e+03,0,0,10,9
SPX US 3/16/2018 C1300 Index,1300,1.124400e+03,1.130500e+03,0,0,9,10
SPX US 3/16/2018 P1300 Index,1300,8.500000e-01,1.450000e+00,1,0,140,120
SPX US 3/16/2018 C1325 Index,1325,1.099800e+03,1.105800e+03,0,0,9,10
SPX US 3/16/2018 C1350 Index,1350,1.075100e+03,1.081100e+03,0,0,9,10
SPX US 3/16/2018 C1375 Index,1375,1.050500e+03,1.056500e+03,0,0,9,10
SPX US 3/16/2018 C1400 Index,1400,1.025900e+03,1.031800e+03,0,0,9,10
SPX US 3/16/2018 P1400 Index,1400,1.350000e+00,1.950000e+00,1,0,140,120
SPX US 3/16/2018 C1425 Index,1425,1.001300e+03,1.007200e+03,0,0,9,10
SPX US 3/16/2018 C1450 Index,1450,9.767000e+02,9.826000e+02,0,0,9,10
SPX US 3/16/2018 P1450 Index,1450,1.700000e+00,2.250000e+00,1,0,130,130
SPX US 3/16/2018 C1475 Index,1475,9.522000e+02,958,0,0,9,10
SPX US 3/16/2018 C1500 Index,1500,9.277000e+02,9.335000e+02,0,0,9,10
SPX US 3/16/2018 P1500 Index,1500,2.100000e+00,2.700000e+00,1,0,150,130
SPX US 3/16/2018 C1525 Index,1525,9.032000e+02,9.089000e+02,0,0,9,10
SPX US 3/16/2018 C1550 Index,1550,8.787000e+02,8.844000e+02,0,0,9,10
SPX US 3/16/2018 C1575 Index,1575,8.542000e+02,8.599000e+02,0,0,9,10
SPX US 3/16/2018 C1600 Index,1600,8.298000e+02,8.355000e+02,0,0,9,10
SPX US 3/16/2018 P1600 Index,1600,3.300000e+00,3.900000e+00,1,0,130,120
SPX US 3/16/2018 C1625 Index,1625,8.055000e+02,8.111000e+02,0,0,9,10
SPX US 3/16/2018 C1650 Index,1650,7.811000e+02,7.867000e+02,0,0,10,9
SPX US 3/16/2018 C1675 Index,1675,7.568000e+02,7.624000e+02,0,0,10,9
SPX US 3/16/2018 P1675 Index,1675,4.600000e+00,5.200000e+00,1,0,130,120
SPX US 3/16/2018 C1700 Index,1700,7.326000e+02,7.381000e+02,0,0,10,9
SPX US 3/16/2018 C1725 Index,1725,7.084000e+02,7.139000e+02,0,0,10,9
SPX US 3/16/2018 P1725 Index,1725,5.700000e+00,6.300000e+00,1,0,130,120
SPX US 3/16/2018 C1750 Index,1750,6.843000e+02,6.897000e+02,0,0,10,9
SPX US 3/16/2018 P1750 Index,1750,6.300000e+00,7,1,0,130,120
SPX US 3/16/2018 C1775 Index,1775,6.603000e+02,6.656000e+02,0,0,10,9
SPX US 3/16/2018 P1775 Index,1775,7,7.700000e+00,1,0,130,120
SPX US 3/16/2018 C1785 Index,1785,6.507000e+02,656,0,0,10,9
SPX US 3/16/2018 P1785 Index,1785,7.300000e+00,8,1,0,130,120
SPX US 3/16/2018 C1800 Index,1800,6.363000e+02,6.416000e+02,0,0,10,9
SPX US 3/16/2018 P1800 Index,1800,7.800000e+00,8.500000e+00,1,0,130,120
SPX US 3/16/2018 C1825 Index,1825,6.124000e+02,6.176000e+02,0,0,10,8
SPX US 3/16/2018 P1825 Index,1825,8.600000e+00,9.300000e+00,1,0,130,120
SPX US 3/16/2018 C1850 Index,1850,5.886000e+02,5.937000e+02,0,0,10,8
SPX US 3/16/2018 P1850 Index,1850,9.500000e+00,1.030000e+01,1,0,150,130
SPX US 3/16/2018 C1875 Index,1875,5.648000e+02,5.699000e+02,0,0,10,8
SPX US 3/16/2018 P1875 Index,1875,1.060000e+01,1.130000e+01,1,0,130,130
SPX US 3/16/2018 C1900 Index,1900,5.412000e+02,5.462000e+02,0,0,10,8
SPX US 3/16/2018 P1900 Index,1900,1.170000e+01,1.250000e+01,1,0,130,170
SPX US 3/16/2018 C1925 Index,1925,5.176000e+02,5.226000e+02,0,0,10,7
SPX US 3/16/2018 P1925 Index,1925,1.290000e+01,1.370000e+01,1,0,130,130
SPX US 3/16/2018 C1950 Index,1950,4.942000e+02,4.991000e+02,0,0,10,7
SPX US 3/16/2018 P1950 Index,1950,1.420000e+01,15,1,0,433,130
SPX US 3/16/2018 C1975 Index,1975,4.709000e+02,4.758000e+02,0,0,10,7
SPX US 3/16/2018 P1975 Index,1975,1.560000e+01,1.650000e+01,1,0,130,130
SPX US 3/16/2018 C2000 Index,2000,4.477000e+02,4.525000e+02,0,0,10,7
SPX US 3/16/2018 P2000 Index,2000,1.720000e+01,1.810000e+01,1,0,433,130
SPX US 3/16/2018 C2025 Index,2025,4.247000e+02,4.294000e+02,0,0,10,7
SPX US 3/16/2018 P2025 Index,2025,1.890000e+01,1.980000e+01,1,0,412,130
SPX US 3/16/2018 C2050 Index,2050,4.019000e+02,4.065000e+02,0,0,10,7
SPX US 3/16/2018 P2050 Index,2050,2.080000e+01,2.170000e+01,1,0,351,130
SPX US 3/16/2018 C2075 Index,2075,3.792000e+02,3.837000e+02,0,0,10,8
SPX US 3/16/2018 P2075 Index,2075,2.290000e+01,2.380000e+01,1,0,314,130
SPX US 3/16/2018 C2100 Index,2100,3.567000e+02,3.611000e+02,0,0,10,8
SPX US 3/16/2018 P2100 Index,2100,2.510000e+01,2.610000e+01,1,0,319,130
SPX US 3/16/2018 C2125 Index,2125,3.345000e+02,3.388000e+02,0,0,10,8
SPX US 3/16/2018 P2125 Index,2125,2.760000e+01,2.870000e+01,1,0,317,170
SPX US 3/16/2018 C2140 Index,2140,3.213000e+02,3.255000e+02,0,0,10,8
SPX US 3/16/2018 P2140 Index,2140,2.920000e+01,3.030000e+01,1,0,302,170
SPX US 3/16/2018 C2150 Index,2150,3.125000e+02,3.167000e+02,0,0,10,8
SPX US 3/16/2018 P2150 Index,2150,3.040000e+01,3.140000e+01,1,0,130,130
SPX US 3/16/2018 C2175 Index,2175,2.908000e+02,2.949000e+02,0,0,10,8
SPX US 3/16/2018 P2175 Index,2175,3.340000e+01,3.440000e+01,1,0,130,130
SPX US 3/16/2018 C2200 Index,2200,2.694000e+02,2.734000e+02,0,0,10,8
SPX US 3/16/2018 P2200 Index,2200,3.660000e+01,3.780000e+01,1,0,302,130
SPX US 3/16/2018 C2225 Index,2225,2.484000e+02,2.523000e+02,0,0,10,8
SPX US 3/16/2018 P2225 Index,2225,4.030000e+01,4.150000e+01,1,0,299,170
SPX US 3/16/2018 C2245 Index,2245,2.319000e+02,2.356000e+02,0,0,10,8
SPX US 3/16/2018 P2245 Index,2245,4.350000e+01,4.470000e+01,1,0,299,130
SPX US 3/16/2018 C2250 Index,2250,2.278000e+02,2.315000e+02,0,0,10,8
SPX US 3/16/2018 P2250 Index,2250,4.430000e+01,4.560000e+01,1,0,302,170
SPX US 3/16/2018 C2255 Index,2255,2.237000e+02,2.274000e+02,0,0,10,8
SPX US 3/16/2018 P2255 Index,2255,4.520000e+01,4.640000e+01,1,0,287,130
SPX US 3/16/2018 C2275 Index,2275,2.076000e+02,2.112000e+02,0,0,10,8
SPX US 3/16/2018 P2275 Index,2275,4.880000e+01,50,1,0,286,130
SPX US 3/16/2018 C2300 Index,2300,1.878000e+02,1.913000e+02,0,0,10,8
SPX US 3/16/2018 P2300 Index,2300,5.370000e+01,55,1,0,291,130
SPX US 3/16/2018 C2325 Index,2325,1.686000e+02,172,0,0,10,8
SPX US 3/16/2018 P2325 Index,2325,5.910000e+01,6.050000e+01,1,0,404,130
SPX US 3/16/2018 C2350 Index,2350,150,1.532000e+02,0,0,10,8
SPX US 3/16/2018 P2350 Index,2350,6.520000e+01,6.650000e+01,1,0,395,20
SPX US 3/16/2018 C2375 Index,2375,1.323000e+02,135,0,0,276,302
SPX US 3/16/2018 P2375 Index,2375,7.190000e+01,7.330000e+01,1,0,272,130
SPX US 3/16/2018 C2400 Index,2400,115,1.166000e+02,0,0,388,130
