Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.338190e+03,2.339260e+03,0,0,0,0
SPX US 4/21/2017 C500 Index,500,1.833900e+03,1840,0,0,1,1
SPX US 4/21/2017 C600 Index,600,1734,1.740100e+03,0,0,1,1
SPX US 4/21/2017 C700 Index,700,1.634100e+03,1.640200e+03,0,0,1,1
SPX US 4/21/2017 C800 Index,800,1.534200e+03,1.540300e+03,0,0,1,1
SPX US 4/21/2017 C850 Index,850,1.484200e+03,1.490300e+03,0,0,1,1
SPX US 4/21/2017 C900 Index,900,1.426800e+03,1.440400e+03,0,0,1,1
SPX US 4/21/2017 C950 Index,950,1.384300e+03,1.390400e+03,0,0,1,1
SPX US 4/21/2017 C1000 Index,1000,1.334400e+03,1.340500e+03,0,0,1,1
SPX US 4/21/2017 C1050 Index,1050,1.284400e+03,1.290500e+03,0,0,1,1
SPX US 4/21/2017 C1100 Index,1100,1.234500e+03,1.240500e+03,0,0,1,1
SPX US 4/21/2017 C1150 Index,1150,1.184500e+03,1.190600e+03,0,0,1,1
SPX US 4/21/2017 C1175 Index,1175,1.159500e+03,1.165600e+03,0,0,1,1
SPX US 4/21/2017 C1200 Index,1200,1.134500e+03,1.140600e+03,0,0,1,1
SPX US 4/21/2017 C1225 Index,1225,1.109600e+03,1.115700e+03,0,0,1,1
SPX US 4/21/2017 C1250 Index,1250,1.084600e+03,1.090700e+03,0,0,1,1
SPX US 4/21/2017 C1275 Index,1275,1.059600e+03,1.065700e+03,0,0,1,1
SPX US 4/21/2017 C1300 Index,1300,1.034600e+03,1.040700e+03,0,0,1,1
SPX US 4/21/2017 C1325 Index,1325,1.009700e+03,1.015800e+03,0,0,1,1
SPX US 4/21/2017 C1350 Index,1350,9.846000e+02,9.907000e+02,0,0,1,1
SPX US 4/21/2017 C1375 Index,1375,9.597000e+02,9.658000e+02,0,0,1,1
SPX US 4/21/2017 C1400 Index,1400,9.347000e+02,9.408000e+02,0,0,1,1
SPX US 4/21/2017 C1425 Index,1425,9.098000e+02,9.159000e+02,0,0,1,1
SPX US 4/21/2017 C1450 Index,1450,8.847000e+02,8.908000e+02,0,0,1,1
SPX US 4/21/2017 C1475 Index,1475,8.599000e+02,866,0,0,1,1
SPX US 4/21/2017 C1480 Index,1480,8.549000e+02,861,0,0,1,1
SPX US 4/21/2017 C1490 Index,1490,8.449000e+02,851,0,0,1,1
SPX US 4/21/2017 C1500 Index,1500,8.348000e+02,8.409000e+02,0,0,1,1
SPX US 4/21/2017 C1505 Index,1505,8.298000e+02,8.359000e+02,0,0,1,1
SPX US 4/21/2017 C1510 Index,1510,8.248000e+02,8.309000e+02,0,0,1,1
SPX US 4/21/2017 C1515 Index,1515,8.198000e+02,8.259000e+02,0,0,1,1
SPX US 4/21/2017 C1520 Index,1520,8.149000e+02,8.209000e+02,0,0,1,1
SPX US 4/21/2017 C1525 Index,1525,8.099000e+02,816,0,0,1,1
SPX US 4/21/2017 C1530 Index,1530,8.048000e+02,8.109000e+02,0,0,1,1
SPX US 4/21/2017 C1535 Index,1535,7.998000e+02,8.059000e+02,0,0,1,1
SPX US 4/21/2017 C1540 Index,1540,7.948000e+02,8.009000e+02,0,0,1,1
SPX US 4/21/2017 C1545 Index,1545,7.899000e+02,796,0,0,1,1
SPX US 4/21/2017 C1550 Index,1550,7.776000e+02,791,0,0,1,1
SPX US 4/21/2017 C1555 Index,1555,7.799000e+02,786,0,0,1,1
SPX US 4/21/2017 C1560 Index,1560,7.749000e+02,781,0,0,1,1
SPX US 4/21/2017 C1565 Index,1565,7.625000e+02,776,0,0,1,1
SPX US 4/21/2017 C1570 Index,1570,7.649000e+02,771,0,0,1,1
SPX US 4/21/2017 C1575 Index,1575,7.522000e+02,766,0,0,2,1
SPX US 4/21/2017 C1580 Index,1580,7.472000e+02,761,0,0,2,1
SPX US 4/21/2017 C1585 Index,1585,7.499000e+02,756,0,0,1,1
SPX US 4/21/2017 C1590 Index,1590,745,7.511000e+02,0,0,1,1
SPX US 4/21/2017 C1595 Index,1595,7.323000e+02,746,0,0,1,1
SPX US 4/21/2017 C1600 Index,1600,7.273000e+02,741,0,0,1,1
SPX US 4/21/2017 C1605 Index,1605,7.299000e+02,736,0,0,1,1
SPX US 4/21/2017 C1610 Index,1610,725,731,0,0,1,1
SPX US 4/21/2017 C1615 Index,1615,7.199000e+02,726,0,0,1,1
SPX US 4/21/2017 C1620 Index,1620,715,7.211000e+02,0,0,1,1
SPX US 4/21/2017 C1625 Index,1625,7.099000e+02,716,0,0,1,1
SPX US 4/21/2017 C1630 Index,1630,705,7.111000e+02,0,0,1,1
SPX US 4/21/2017 C1635 Index,1635,6.927000e+02,7.061000e+02,0,0,1,1
SPX US 4/21/2017 C1640 Index,1640,6.949000e+02,701,0,0,1,1
SPX US 4/21/2017 C1645 Index,1645,690,6.961000e+02,0,0,1,1
SPX US 4/21/2017 C1650 Index,1650,6.851000e+02,6.911000e+02,0,0,1,1
SPX US 4/21/2017 C1655 Index,1655,680,6.861000e+02,0,0,1,1
SPX US 4/21/2017 C1660 Index,1660,675,6.811000e+02,0,0,1,1
SPX US 4/21/2017 C1665 Index,1665,670,6.761000e+02,0,0,1,1
SPX US 4/21/2017 C1670 Index,1670,6.573000e+02,6.711000e+02,0,0,1,1
SPX US 4/21/2017 C1675 Index,1675,6.523000e+02,6.661000e+02,0,0,1,1
SPX US 4/21/2017 P1675 Index,1675,5.000000e-02,1.000000e-01,1,0,118,20
SPX US 4/21/2017 C1680 Index,1680,655,661,0,0,1,1
SPX US 4/21/2017 P1680 Index,1680,5.000000e-02,1.950000e+00,1,0,3,1
SPX US 4/21/2017 C1685 Index,1685,650,6.561000e+02,0,0,1,1
SPX US 4/21/2017 P1685 Index,1685,0,1.950000e+00,1,0,0,1
SPX US 4/21/2017 C1690 Index,1690,6.377000e+02,6.511000e+02,0,0,1,1
SPX US 4/21/2017 P1690 Index,1690,0,1.950000e+00,1,0,0,1
SPX US 4/21/2017 C1695 Index,1695,6.401000e+02,6.461000e+02,0,0,1,1
SPX US 4/21/2017 P1695 Index,1695,0,1.950000e+00,1,0,0,1
SPX US 4/21/2017 C1700 Index,1700,635,6.411000e+02,0,0,1,1
SPX US 4/21/2017 P1700 Index,1700,5.000000e-02,1.000000e-01,1,0,50,45
SPX US 4/21/2017 C1705 Index,1705,6.301000e+02,6.362000e+02,0,0,1,1
SPX US 4/21/2017 P1705 Index,1705,0,1.950000e+00,1,0,0,1
SPX US 4/21/2017 C1710 Index,1710,625,6.311000e+02,0,0,1,1
SPX US 4/21/2017 P1710 Index,1710,0,1.950000e+00,1,0,0,1
SPX US 4/21/2017 C1715 Index,1715,6.201000e+02,6.261000e+02,0,0,1,1
