Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.395110e+03,2.395980e+03,0,0,0,0
ESU7 Index,0,2.389250e+03,2.389750e+03,0,1,15,6
SPX US 9/15/2017 C300 Index,300,2.076600e+03,2.081800e+03,0,0,10,9
SPX US 9/15/2017 C400 Index,400,1.977100e+03,1.982300e+03,0,0,10,9
SPX US 9/15/2017 C500 Index,500,1.877600e+03,1.882700e+03,0,0,10,9
SPX US 9/15/2017 C600 Index,600,1.778100e+03,1.783200e+03,0,0,10,9
SPX US 9/15/2017 C700 Index,700,1.678600e+03,1.683700e+03,0,0,10,9
SPX US 9/15/2017 C750 Index,750,1.628900e+03,1634,0,0,10,9
SPX US 9/15/2017 C800 Index,800,1.579200e+03,1.584200e+03,0,0,10,9
SPX US 9/15/2017 C850 Index,850,1.529500e+03,1.534600e+03,0,0,10,9
SPX US 9/15/2017 C900 Index,900,1.479800e+03,1.484800e+03,0,0,10,9
SPX US 9/15/2017 C925 Index,925,1.454900e+03,1.459900e+03,0,0,10,9
SPX US 9/15/2017 C950 Index,950,1430,1435,0,0,10,9
SPX US 9/15/2017 C975 Index,975,1.405100e+03,1.410200e+03,0,0,10,9
SPX US 9/15/2017 C1000 Index,1000,1.380300e+03,1.385300e+03,0,0,10,9
SPX US 9/15/2017 C1025 Index,1025,1.355400e+03,1.360400e+03,0,0,10,9
SPX US 9/15/2017 C1050 Index,1050,1.330600e+03,1.335600e+03,0,0,10,9
SPX US 9/15/2017 C1075 Index,1075,1.305700e+03,1.310700e+03,0,0,10,9
SPX US 9/15/2017 C1100 Index,1100,1.280900e+03,1.285900e+03,0,0,10,9
SPX US 9/15/2017 C1125 Index,1125,1.256100e+03,1261,0,0,10,9
SPX US 9/15/2017 C1150 Index,1150,1.231200e+03,1.236200e+03,0,0,10,9
SPX US 9/15/2017 C1175 Index,1175,1.206400e+03,1.211300e+03,0,0,10,9
SPX US 9/15/2017 C1200 Index,1200,1.181500e+03,1.186500e+03,0,0,10,9
SPX US 9/15/2017 C1225 Index,1225,1.156700e+03,1.161600e+03,0,0,10,9
SPX US 9/15/2017 C1250 Index,1250,1.131800e+03,1.136700e+03,0,0,10,9
SPX US 9/15/2017 C1275 Index,1275,1107,1.111900e+03,0,0,10,9
SPX US 9/15/2017 C1300 Index,1300,1.082100e+03,1087,0,0,10,9
SPX US 9/15/2017 C1325 Index,1325,1.057300e+03,1.062200e+03,0,0,10,9
SPX US 9/15/2017 C1350 Index,1350,1.032500e+03,1.037400e+03,0,0,10,9
SPX US 9/15/2017 C1375 Index,1375,1.007600e+03,1.012500e+03,0,0,10,9
SPX US 9/15/2017 C1400 Index,1400,9.828000e+02,9.877000e+02,0,0,10,9
SPX US 9/15/2017 P1400 Index,1400,4.000000e-01,8.000000e-01,1,0,130,150
SPX US 9/15/2017 C1425 Index,1425,958,9.629000e+02,0,0,10,9
SPX US 9/15/2017 C1450 Index,1450,9.333000e+02,9.381000e+02,0,0,10,9
SPX US 9/15/2017 C1475 Index,1475,9.085000e+02,9.133000e+02,0,0,9,10
SPX US 9/15/2017 C1500 Index,1500,8.837000e+02,8.886000e+02,0,0,10,9
SPX US 9/15/2017 C1525 Index,1525,859,8.638000e+02,0,0,9,10
SPX US 9/15/2017 C1550 Index,1550,8.341000e+02,8.389000e+02,0,0,9,10
SPX US 9/15/2017 C1575 Index,1575,8.093000e+02,8.142000e+02,0,0,9,10
SPX US 9/15/2017 C1600 Index,1600,7.848000e+02,7.892000e+02,0,0,38,39
SPX US 9/15/2017 C1610 Index,1610,7.749000e+02,7.793000e+02,0,0,38,39
SPX US 9/15/2017 C1625 Index,1625,7.599000e+02,7.647000e+02,0,0,38,39
SPX US 9/15/2017 C1650 Index,1650,7.352000e+02,7.399000e+02,0,0,38,39
SPX US 9/15/2017 C1675 Index,1675,7.105000e+02,7.152000e+02,0,0,38,39
SPX US 9/15/2017 C1700 Index,1700,6.858000e+02,6.906000e+02,0,0,38,39
SPX US 9/15/2017 C1725 Index,1725,6.614000e+02,6.657000e+02,0,0,39,38
SPX US 9/15/2017 C1750 Index,1750,6.368000e+02,6.411000e+02,0,0,39,38
SPX US 9/15/2017 C1775 Index,1775,6.122000e+02,6.165000e+02,0,0,39,38
SPX US 9/15/2017 C1800 Index,1800,5.875000e+02,5.922000e+02,0,0,10,38
SPX US 9/15/2017 C1825 Index,1825,5.632000e+02,5.675000e+02,0,0,10,38
SPX US 9/15/2017 P1825 Index,1825,3.200000e+00,3.700000e+00,1,0,160,162
SPX US 9/15/2017 C1850 Index,1850,5.385000e+02,5.431000e+02,0,0,10,37
SPX US 9/15/2017 C1875 Index,1875,5.141000e+02,5.187000e+02,0,0,10,37
SPX US 9/15/2017 C1900 Index,1900,4.899000e+02,4.944000e+02,0,0,10,36
SPX US 9/15/2017 C1910 Index,1910,4.801000e+02,4.846000e+02,0,0,10,35
SPX US 9/15/2017 P1910 Index,1910,4.800000e+00,5.400000e+00,1,0,160,182
SPX US 9/15/2017 C1925 Index,1925,4.655000e+02,470,0,0,10,35
SPX US 9/15/2017 C1950 Index,1950,4.413000e+02,4.458000e+02,0,0,10,34
SPX US 9/15/2017 C1975 Index,1975,4.172000e+02,4.217000e+02,0,0,10,33
SPX US 9/15/2017 P1975 Index,1975,6.600000e+00,7.200000e+00,1,0,140,171
SPX US 9/15/2017 C2000 Index,2000,3.933000e+02,3.977000e+02,0,0,10,33
SPX US 9/15/2017 P2000 Index,2000,7.500000e+00,8.100000e+00,1,0,140,171
SPX US 9/15/2017 C2025 Index,2025,3.694000e+02,3.737000e+02,0,0,10,32
SPX US 9/15/2017 P2025 Index,2025,8.500000e+00,9.100000e+00,1,0,10,175
SPX US 9/15/2017 C2050 Index,2050,3.458000e+02,350,0,0,39,32
SPX US 9/15/2017 P2050 Index,2050,9.600000e+00,1.030000e+01,1,0,175,525
SPX US 9/15/2017 C2075 Index,2075,3.221000e+02,3.263000e+02,0,0,39,32
SPX US 9/15/2017 P2075 Index,2075,1.080000e+01,1.160000e+01,1,0,893,440
SPX US 9/15/2017 C2100 Index,2100,2.987000e+02,3.028000e+02,0,0,39,31
SPX US 9/15/2017 P2100 Index,2100,1.230000e+01,13,1,0,161,407
SPX US 9/15/2017 C2125 Index,2125,2.758000e+02,2.796000e+02,0,0,39,31
SPX US 9/15/2017 C2150 Index,2150,2.528000e+02,2.567000e+02,0,0,39,31
SPX US 9/15/2017 P2150 Index,2150,1.570000e+01,1.660000e+01,1,0,757,383
SPX US 9/15/2017 C2175 Index,2175,230,2.338000e+02,0,0,39,31
SPX US 9/15/2017 P2175 Index,2175,1.790000e+01,1.870000e+01,1,0,618,143
SPX US 9/15/2017 C2200 Index,2200,2.078000e+02,2.114000e+02,0,0,39,31
SPX US 9/15/2017 P2200 Index,2200,2.030000e+01,2.130000e+01,1,0,698,333
SPX US 9/15/2017 C2225 Index,2225,1.859000e+02,1.894000e+02,0,0,39,32
SPX US 9/15/2017 P2225 Index,2225,2.320000e+01,2.420000e+01,1,0,752,305
SPX US 9/15/2017 C2250 Index,2250,1.645000e+02,1.678000e+02,0,0,39,32
SPX US 9/15/2017 P2250 Index,2250,2.660000e+01,2.760000e+01,1,0,666,316
SPX US 9/15/2017 C2275 Index,2275,1.436000e+02,1.467000e+02,0,0,39,32
SPX US 9/15/2017 P2275 Index,2275,3.050000e+01,3.160000e+01,1,0,691,320
SPX US 9/15/2017 P2300 Index,2300,3.510000e+01,3.630000e+01,1,0,682,218
SPX US 9/15/2017 C2325 Index,2325,1.043000e+02,107,0,0,39,34
SPX US 9/15/2017 P2325 Index,2325,4.060000e+01,4.190000e+01,1,0,647,359
SPX US 9/15/2017 C2350 Index,2350,8.620000e+01,8.850000e+01,0,0,50,46
SPX US 9/15/2017 P2350 Index,2350,4.710000e+01,4.860000e+01,1,0,671,399
SPX US 9/15/2017 C2375 Index,2375,6.940000e+01,7.130000e+01,0,0,556,373
