Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.414950e+03,2416,0,0,0,0
ESM7 Index,0,2.413750e+03,2414,0,1,134,335
SPX US 6/16/2017 C300 Index,300,2.111100e+03,2.113100e+03,0,0,40,40
SPX US 6/16/2017 C400 Index,400,2.011200e+03,2.013200e+03,0,0,40,40
SPX US 6/16/2017 C500 Index,500,1.911300e+03,1.913200e+03,0,0,40,40
SPX US 6/16/2017 C600 Index,600,1.811400e+03,1.813300e+03,0,0,40,40
SPX US 6/16/2017 C700 Index,700,1.711500e+03,1.713300e+03,0,0,40,40
SPX US 6/16/2017 C750 Index,750,1.661600e+03,1.663400e+03,0,0,40,40
SPX US 6/16/2017 C800 Index,800,1.611600e+03,1.613400e+03,0,0,40,40
SPX US 6/16/2017 C850 Index,850,1.561700e+03,1.563400e+03,0,0,40,40
SPX US 6/16/2017 C900 Index,900,1.511700e+03,1.513500e+03,0,0,40,40
SPX US 6/16/2017 C925 Index,925,1.485300e+03,1490,0,0,9,10
SPX US 6/16/2017 C950 Index,950,1.460300e+03,1465,0,0,9,10
SPX US 6/16/2017 C975 Index,975,1.435400e+03,1.440100e+03,0,0,9,10
SPX US 6/16/2017 C1025 Index,1025,1.385400e+03,1.390100e+03,0,0,9,10
SPX US 6/16/2017 C1050 Index,1050,1.360400e+03,1.365100e+03,0,0,9,10
SPX US 6/16/2017 C1075 Index,1075,1.335500e+03,1.340100e+03,0,0,9,10
SPX US 6/16/2017 C1100 Index,1100,1.310500e+03,1.315200e+03,0,0,9,10
SPX US 6/16/2017 C1125 Index,1125,1.285500e+03,1.290200e+03,0,0,9,10
SPX US 6/16/2017 C1150 Index,1150,1.260500e+03,1.265200e+03,0,0,9,10
SPX US 6/16/2017 C1175 Index,1175,1.235500e+03,1.240200e+03,0,0,9,10
SPX US 6/16/2017 C1200 Index,1200,1.210600e+03,1.215200e+03,0,0,9,10
SPX US 6/16/2017 C1225 Index,1225,1.185600e+03,1.190300e+03,0,0,9,10
SPX US 6/16/2017 C1250 Index,1250,1.160600e+03,1.165300e+03,0,0,10,9
SPX US 6/16/2017 C1275 Index,1275,1.135600e+03,1.140300e+03,0,0,10,9
SPX US 6/16/2017 C1300 Index,1300,1.110700e+03,1.115300e+03,0,0,10,9
SPX US 6/16/2017 C1325 Index,1325,1.085700e+03,1.090300e+03,0,0,10,9
SPX US 6/16/2017 C1350 Index,1350,1.060700e+03,1.065400e+03,0,0,10,9
SPX US 6/16/2017 C1375 Index,1375,1.035700e+03,1.040400e+03,0,0,10,9
SPX US 6/16/2017 C1400 Index,1400,1.010700e+03,1.015400e+03,0,0,10,9
SPX US 6/16/2017 C1425 Index,1425,9.858000e+02,9.904000e+02,0,0,10,9
SPX US 6/16/2017 C1450 Index,1450,9.608000e+02,9.655000e+02,0,0,10,9
SPX US 6/16/2017 C1470 Index,1470,9.408000e+02,9.455000e+02,0,0,10,9
SPX US 6/16/2017 C1475 Index,1475,9.358000e+02,9.405000e+02,0,0,10,9
SPX US 6/16/2017 C1500 Index,1500,9.108000e+02,9.155000e+02,0,0,10,9
SPX US 6/16/2017 C1525 Index,1525,8.859000e+02,8.905000e+02,0,0,10,9
SPX US 6/16/2017 C1540 Index,1540,8.709000e+02,8.755000e+02,0,0,10,9
SPX US 6/16/2017 C1550 Index,1550,8.609000e+02,8.656000e+02,0,0,10,9
SPX US 6/16/2017 C1560 Index,1560,8.509000e+02,8.556000e+02,0,0,10,9
SPX US 6/16/2017 C1570 Index,1570,8.409000e+02,8.456000e+02,0,0,10,9
SPX US 6/16/2017 C1575 Index,1575,8.359000e+02,8.406000e+02,0,0,10,9
SPX US 6/16/2017 C1580 Index,1580,8.309000e+02,8.356000e+02,0,0,10,9
SPX US 6/16/2017 C1590 Index,1590,8.209000e+02,8.256000e+02,0,0,10,9
SPX US 6/16/2017 C1600 Index,1600,8.109000e+02,8.156000e+02,0,0,10,9
SPX US 6/16/2017 C1610 Index,1610,801,8.056000e+02,0,0,10,9
SPX US 6/16/2017 C1620 Index,1620,791,7.956000e+02,0,0,10,9
SPX US 6/16/2017 C1625 Index,1625,786,7.906000e+02,0,0,10,9
SPX US 6/16/2017 C1630 Index,1630,781,7.856000e+02,0,0,10,9
SPX US 6/16/2017 C1640 Index,1640,771,7.756000e+02,0,0,10,9
SPX US 6/16/2017 C1650 Index,1650,761,7.657000e+02,0,0,10,9
SPX US 6/16/2017 C1660 Index,1660,751,7.557000e+02,0,0,10,9
SPX US 6/16/2017 C1670 Index,1670,741,7.457000e+02,0,0,10,9
SPX US 6/16/2017 C1675 Index,1675,736,7.407000e+02,0,0,10,9
SPX US 6/16/2017 C1680 Index,1680,731,7.357000e+02,0,0,10,9
SPX US 6/16/2017 C1690 Index,1690,721,7.257000e+02,0,0,10,9
SPX US 6/16/2017 C1700 Index,1700,7.111000e+02,7.157000e+02,0,0,10,9
SPX US 6/16/2017 C1710 Index,1710,7.011000e+02,7.057000e+02,0,0,10,9
SPX US 6/16/2017 C1720 Index,1720,6.911000e+02,6.957000e+02,0,0,10,9
SPX US 6/16/2017 C1725 Index,1725,6.861000e+02,6.907000e+02,0,0,10,9
SPX US 6/16/2017 C1730 Index,1730,6.811000e+02,6.857000e+02,0,0,10,9
SPX US 6/16/2017 C1740 Index,1740,6.711000e+02,6.758000e+02,0,0,10,9
SPX US 6/16/2017 C1750 Index,1750,6.611000e+02,6.658000e+02,0,0,10,9
SPX US 6/16/2017 C1760 Index,1760,6.511000e+02,6.558000e+02,0,0,10,9
SPX US 6/16/2017 C1770 Index,1770,6.411000e+02,6.458000e+02,0,0,10,9
SPX US 6/16/2017 C1775 Index,1775,6.361000e+02,6.408000e+02,0,0,10,9
SPX US 6/16/2017 C1780 Index,1780,6.311000e+02,6.358000e+02,0,0,10,9
SPX US 6/16/2017 C1785 Index,1785,6.262000e+02,6.308000e+02,0,0,10,9
SPX US 6/16/2017 C1790 Index,1790,6.212000e+02,6.258000e+02,0,0,10,9
SPX US 6/16/2017 C1795 Index,1795,6.162000e+02,6.208000e+02,0,0,10,9
SPX US 6/16/2017 C1800 Index,1800,6.112000e+02,6.158000e+02,0,0,10,9
SPX US 6/16/2017 C1805 Index,1805,6.062000e+02,6.108000e+02,0,0,10,9
SPX US 6/16/2017 C1810 Index,1810,6.012000e+02,6.058000e+02,0,0,10,9
SPX US 6/16/2017 C1815 Index,1815,5.962000e+02,6.008000e+02,0,0,10,9
SPX US 6/16/2017 C1820 Index,1820,5.912000e+02,5.958000e+02,0,0,10,9
SPX US 6/16/2017 C1825 Index,1825,5.862000e+02,5.909000e+02,0,0,10,9
SPX US 6/16/2017 C1830 Index,1830,5.812000e+02,5.859000e+02,0,0,10,9
SPX US 6/16/2017 C1835 Index,1835,5.762000e+02,5.809000e+02,0,0,10,9
SPX US 6/16/2017 C1840 Index,1840,5.712000e+02,5.759000e+02,0,0,10,9
SPX US 6/16/2017 C1845 Index,1845,5.662000e+02,5.709000e+02,0,0,10,9
SPX US 6/16/2017 C1850 Index,1850,5.612000e+02,5.659000e+02,0,0,10,9
SPX US 6/16/2017 C1855 Index,1855,5.562000e+02,5.609000e+02,0,0,10,9
SPX US 6/16/2017 C1860 Index,1860,5.512000e+02,5.559000e+02,0,0,10,9
SPX US 6/16/2017 C1865 Index,1865,5.463000e+02,5.509000e+02,0,0,10,9
SPX US 6/16/2017 C1870 Index,1870,5.413000e+02,5.459000e+02,0,0,10,9
SPX US 6/16/2017 C1875 Index,1875,5.363000e+02,5.409000e+02,0,0,10,9
SPX US 6/16/2017 C1880 Index,1880,5.313000e+02,5.359000e+02,0,0,10,9
SPX US 6/16/2017 C1885 Index,1885,5.263000e+02,5.309000e+02,0,0,10,9
SPX US 6/16/2017 C1890 Index,1890,5.213000e+02,5.259000e+02,0,0,10,9
SPX US 6/16/2017 C1895 Index,1895,5.163000e+02,5.209000e+02,0,0,10,9
SPX US 6/16/2017 C1900 Index,1900,5.113000e+02,5.159000e+02,0,0,10,9
SPX US 6/16/2017 C1905 Index,1905,5.063000e+02,511,0,0,10,9
SPX US 6/16/2017 C1910 Index,1910,5.013000e+02,506,0,0,10,9
SPX US 6/16/2017 C1915 Index,1915,4.963000e+02,501,0,0,10,9
SPX US 6/16/2017 C1920 Index,1920,4.913000e+02,496,0,0,10,9
SPX US 6/16/2017 C1925 Index,1925,4.863000e+02,491,0,0,10,9
