Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.424250e+03,2.425350e+03,0,0,0,0
SPX US 8/18/2017 C1000 Index,1000,1.409400e+03,1.426500e+03,0,0,1,1
SPX US 8/18/2017 C1100 Index,1100,1.309600e+03,1.326800e+03,0,0,1,1
SPX US 8/18/2017 C1175 Index,1175,1.234400e+03,1.251900e+03,0,0,1,1
SPX US 8/18/2017 C1200 Index,1200,1.209500e+03,1227,0,0,1,1
SPX US 8/18/2017 C1225 Index,1225,1.184700e+03,1.202100e+03,0,0,1,1
SPX US 8/18/2017 C1250 Index,1250,1.159700e+03,1177,0,0,1,1
SPX US 8/18/2017 C1275 Index,1275,1.133500e+03,1.152200e+03,0,0,1,1
SPX US 8/18/2017 C1300 Index,1300,1.109800e+03,1.127100e+03,0,0,1,1
SPX US 8/18/2017 C1325 Index,1325,1.085400e+03,1.102300e+03,0,0,1,1
SPX US 8/18/2017 C1350 Index,1350,1.060400e+03,1.077300e+03,0,0,1,1
SPX US 8/18/2017 P1350 Index,1350,5.000000e-02,3.500000e-01,1,0,123,140
SPX US 8/18/2017 C1375 Index,1375,1.035500e+03,1.052400e+03,0,0,1,1
SPX US 8/18/2017 P1375 Index,1375,5.000000e-02,3.500000e-01,1,0,140,120
SPX US 8/18/2017 C1400 Index,1400,1.010600e+03,1.027500e+03,0,0,1,1
SPX US 8/18/2017 P1400 Index,1400,1.000000e-01,4.000000e-01,1,0,120,140
SPX US 8/18/2017 C1425 Index,1425,9.852000e+02,1.002400e+03,0,0,1,1
SPX US 8/18/2017 P1425 Index,1425,1.000000e-01,4.000000e-01,1,0,140,120
SPX US 8/18/2017 C1450 Index,1450,9.603000e+02,9.776000e+02,0,0,1,1
SPX US 8/18/2017 P1450 Index,1450,1.500000e-01,4.500000e-01,1,0,120,140
SPX US 8/18/2017 C1475 Index,1475,9.354000e+02,9.527000e+02,0,0,1,1
SPX US 8/18/2017 P1475 Index,1475,1.500000e-01,4.500000e-01,1,0,120,120
SPX US 8/18/2017 C1500 Index,1500,9.105000e+02,9.277000e+02,0,0,1,1
SPX US 8/18/2017 C1525 Index,1525,8.856000e+02,9.027000e+02,0,0,1,1
SPX US 8/18/2017 C1550 Index,1550,8.607000e+02,8.778000e+02,0,0,1,1
SPX US 8/18/2017 P1550 Index,1550,2.500000e-01,5.500000e-01,1,0,120,120
SPX US 8/18/2017 C1575 Index,1575,8.358000e+02,8.529000e+02,0,0,1,1
SPX US 8/18/2017 C1600 Index,1600,811,8.281000e+02,0,0,1,1
SPX US 8/18/2017 C1625 Index,1625,7.861000e+02,8.032000e+02,0,0,1,1
SPX US 8/18/2017 C1650 Index,1650,7.612000e+02,7.785000e+02,0,0,1,1
SPX US 8/18/2017 C1675 Index,1675,7.366000e+02,7.537000e+02,0,0,1,1
SPX US 8/18/2017 C1680 Index,1680,7.313000e+02,7.487000e+02,0,0,1,1
