Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.399590e+03,2.400560e+03,0,0,0,0
ESM7 Index,0,2.398500e+03,2.398750e+03,0,1,144,296
SPX US 6/16/2017 C300 Index,300,2.086800e+03,2.107800e+03,0,0,1,1
SPX US 6/16/2017 C400 Index,400,1.986800e+03,2.007900e+03,0,0,1,1
SPX US 6/16/2017 C500 Index,500,1.886900e+03,1908,0,0,1,1
SPX US 6/16/2017 C600 Index,600,1787,1.808100e+03,0,0,1,1
SPX US 6/16/2017 C700 Index,700,1.687100e+03,1.708100e+03,0,0,1,1
SPX US 6/16/2017 C750 Index,750,1.637100e+03,1.658200e+03,0,0,1,1
SPX US 6/16/2017 C800 Index,800,1.587100e+03,1.608200e+03,0,0,1,1
SPX US 6/16/2017 C850 Index,850,1.537200e+03,1.558300e+03,0,0,1,1
SPX US 6/16/2017 C900 Index,900,1.487200e+03,1.508300e+03,0,0,1,1
SPX US 6/16/2017 C925 Index,925,1.462200e+03,1.483400e+03,0,0,2,1
SPX US 6/16/2017 C950 Index,950,1.437300e+03,1.458400e+03,0,0,1,1
SPX US 6/16/2017 C975 Index,975,1.412300e+03,1.433400e+03,0,0,1,1
SPX US 6/16/2017 C1000 Index,1000,1.387300e+03,1.408500e+03,0,0,1,1
SPX US 6/16/2017 C1025 Index,1025,1.362300e+03,1.383500e+03,0,0,1,1
SPX US 6/16/2017 C1050 Index,1050,1.337300e+03,1.358500e+03,0,0,2,1
SPX US 6/16/2017 C1075 Index,1075,1.312400e+03,1.333600e+03,0,0,1,1
SPX US 6/16/2017 C1100 Index,1100,1.287400e+03,1.308600e+03,0,0,1,1
SPX US 6/16/2017 C1125 Index,1125,1.262400e+03,1.283600e+03,0,0,1,1
SPX US 6/16/2017 C1150 Index,1150,1.237400e+03,1.258600e+03,0,0,2,1
SPX US 6/16/2017 C1175 Index,1175,1.212400e+03,1.233700e+03,0,0,2,1
SPX US 6/16/2017 C1200 Index,1200,1.187500e+03,1.208700e+03,0,0,1,1
SPX US 6/16/2017 C1225 Index,1225,1.162500e+03,1.183700e+03,0,0,1,1
SPX US 6/16/2017 C1250 Index,1250,1.137500e+03,1.158700e+03,0,0,2,1
SPX US 6/16/2017 C1275 Index,1275,1.112500e+03,1.133700e+03,0,0,2,1
SPX US 6/16/2017 C1300 Index,1300,1.087600e+03,1.108800e+03,0,0,1,1
SPX US 6/16/2017 C1325 Index,1325,1.062600e+03,1.083800e+03,0,0,1,1
SPX US 6/16/2017 C1350 Index,1350,1.037600e+03,1.058800e+03,0,0,2,1
SPX US 6/16/2017 C1375 Index,1375,1.012600e+03,1.033800e+03,0,0,2,1
SPX US 6/16/2017 C1400 Index,1400,9.877000e+02,1.008900e+03,0,0,1,1
SPX US 6/16/2017 C1425 Index,1425,9.626000e+02,9.839000e+02,0,0,2,1
SPX US 6/16/2017 C1450 Index,1450,9.377000e+02,9.589000e+02,0,0,1,1
SPX US 6/16/2017 C1470 Index,1470,9.177000e+02,9.389000e+02,0,0,2,1
SPX US 6/16/2017 C1475 Index,1475,9.127000e+02,934,0,0,2,1
SPX US 6/16/2017 C1500 Index,1500,8.878000e+02,909,0,0,1,1
SPX US 6/16/2017 C1525 Index,1525,8.628000e+02,884,0,0,1,1
SPX US 6/16/2017 C1540 Index,1540,8.478000e+02,869,0,0,1,1
SPX US 6/16/2017 C1550 Index,1550,8.378000e+02,859,0,0,1,1
SPX US 6/16/2017 C1560 Index,1560,8.278000e+02,849,0,0,1,1
SPX US 6/16/2017 C1570 Index,1570,8.178000e+02,8.391000e+02,0,0,1,1
SPX US 6/16/2017 C1575 Index,1575,8.128000e+02,8.341000e+02,0,0,1,1
SPX US 6/16/2017 C1580 Index,1580,8.079000e+02,8.291000e+02,0,0,1,1
SPX US 6/16/2017 C1590 Index,1590,7.979000e+02,8.191000e+02,0,0,1,1
SPX US 6/16/2017 C1600 Index,1600,7.879000e+02,8.091000e+02,0,0,1,1
SPX US 6/16/2017 C1610 Index,1610,7.778000e+02,7.991000e+02,0,0,2,1
SPX US 6/16/2017 C1620 Index,1620,7.679000e+02,7.891000e+02,0,0,1,1
SPX US 6/16/2017 C1625 Index,1625,7.629000e+02,7.841000e+02,0,0,1,1
SPX US 6/16/2017 C1630 Index,1630,7.579000e+02,7.791000e+02,0,0,1,1
SPX US 6/16/2017 C1640 Index,1640,7.479000e+02,7.691000e+02,0,0,1,1
SPX US 6/16/2017 C1650 Index,1650,7.379000e+02,7.591000e+02,0,0,1,1
SPX US 6/16/2017 C1660 Index,1660,7.279000e+02,7.492000e+02,0,0,1,1
SPX US 6/16/2017 C1670 Index,1670,718,7.392000e+02,0,0,1,1
SPX US 6/16/2017 C1675 Index,1675,713,7.342000e+02,0,0,1,1
SPX US 6/16/2017 C1680 Index,1680,708,7.292000e+02,0,0,1,1
SPX US 6/16/2017 C1690 Index,1690,698,7.192000e+02,0,0,1,1
SPX US 6/16/2017 C1700 Index,1700,6.879000e+02,7.092000e+02,0,0,1,1
SPX US 6/16/2017 C1710 Index,1710,6.779000e+02,6.992000e+02,0,0,1,1
SPX US 6/16/2017 C1720 Index,1720,668,6.892000e+02,0,0,1,1
SPX US 6/16/2017 C1725 Index,1725,663,6.842000e+02,0,0,1,1
SPX US 6/16/2017 C1730 Index,1730,658,6.792000e+02,0,0,1,1
SPX US 6/16/2017 C1740 Index,1740,6.479000e+02,6.692000e+02,0,0,1,1
SPX US 6/16/2017 C1750 Index,1750,638,6.592000e+02,0,0,1,1
SPX US 6/16/2017 C1760 Index,1760,6.281000e+02,6.493000e+02,0,0,1,1
SPX US 6/16/2017 C1770 Index,1770,6.181000e+02,6.393000e+02,0,0,1,1
SPX US 6/16/2017 C1775 Index,1775,6.131000e+02,6.343000e+02,0,0,1,1
SPX US 6/16/2017 C1780 Index,1780,6.081000e+02,6.293000e+02,0,0,1,1
SPX US 6/16/2017 C1785 Index,1785,6.031000e+02,6.243000e+02,0,0,1,1
SPX US 6/16/2017 C1790 Index,1790,598,6.193000e+02,0,0,1,1
SPX US 6/16/2017 C1795 Index,1795,5.931000e+02,6.143000e+02,0,0,1,1
SPX US 6/16/2017 C1800 Index,1800,5.881000e+02,6.093000e+02,0,0,1,1
SPX US 6/16/2017 C1805 Index,1805,5.831000e+02,6.043000e+02,0,0,1,1
SPX US 6/16/2017 C1810 Index,1810,5.781000e+02,5.993000e+02,0,0,1,1
SPX US 6/16/2017 C1815 Index,1815,5.731000e+02,5.943000e+02,0,0,1,1
SPX US 6/16/2017 C1820 Index,1820,5.681000e+02,5.893000e+02,0,0,1,1
SPX US 6/16/2017 C1825 Index,1825,5.631000e+02,5.843000e+02,0,0,1,1
SPX US 6/16/2017 C1830 Index,1830,5.581000e+02,5.794000e+02,0,0,1,1
SPX US 6/16/2017 C1835 Index,1835,5.531000e+02,5.744000e+02,0,0,1,1
SPX US 6/16/2017 C1840 Index,1840,5.481000e+02,5.694000e+02,0,0,1,1
SPX US 6/16/2017 C1845 Index,1845,5.432000e+02,5.644000e+02,0,0,1,1
SPX US 6/16/2017 C1850 Index,1850,5.382000e+02,5.594000e+02,0,0,1,1
SPX US 6/16/2017 C1855 Index,1855,5.332000e+02,5.544000e+02,0,0,1,1
SPX US 6/16/2017 P1855 Index,1855,5.000000e-02,2.500000e-01,1,0,140,140
SPX US 6/16/2017 C1860 Index,1860,5.282000e+02,5.494000e+02,0,0,1,1
SPX US 6/16/2017 C1865 Index,1865,5.232000e+02,5.444000e+02,0,0,1,1
SPX US 6/16/2017 C1870 Index,1870,5.182000e+02,5.394000e+02,0,0,1,1
SPX US 6/16/2017 P1870 Index,1870,5.000000e-02,2.500000e-01,1,0,166,120
SPX US 6/16/2017 C1875 Index,1875,5.132000e+02,5.344000e+02,0,0,1,1
SPX US 6/16/2017 C1880 Index,1880,5.082000e+02,5.294000e+02,0,0,1,1
SPX US 6/16/2017 P1880 Index,1880,5.000000e-02,2.500000e-01,1,0,180,120
SPX US 6/16/2017 C1885 Index,1885,5.032000e+02,5.244000e+02,0,0,1,1
SPX US 6/16/2017 P1885 Index,1885,5.000000e-02,2.500000e-01,1,0,160,120
SPX US 6/16/2017 C1890 Index,1890,4.982000e+02,5.195000e+02,0,0,1,1
SPX US 6/16/2017 C1895 Index,1895,4.932000e+02,5.145000e+02,0,0,1,1
SPX US 6/16/2017 C1900 Index,1900,4.882000e+02,5.095000e+02,0,0,1,1
SPX US 6/16/2017 C1905 Index,1905,4.833000e+02,5.045000e+02,0,0,1,1
SPX US 6/16/2017 C1910 Index,1910,4.783000e+02,4.995000e+02,0,0,1,1
SPX US 6/16/2017 C1915 Index,1915,4.733000e+02,4.945000e+02,0,0,1,1
SPX US 6/16/2017 C1920 Index,1920,4.683000e+02,4.895000e+02,0,0,1,1
SPX US 6/16/2017 C1925 Index,1925,4.633000e+02,4.845000e+02,0,0,1,1
SPX US 6/16/2017 C1930 Index,1930,4.583000e+02,4.795000e+02,0,0,1,1
SPX US 6/16/2017 C1935 Index,1935,4.533000e+02,4.745000e+02,0,0,1,1
SPX US 6/16/2017 P1935 Index,1935,1.000000e-01,3.000000e-01,1,0,180,120
SPX US 6/16/2017 C1940 Index,1940,4.483000e+02,4.696000e+02,0,0,1,1
SPX US 6/16/2017 C1945 Index,1945,4.433000e+02,4.646000e+02,0,0,1,1
SPX US 6/16/2017 C1950 Index,1950,4.383000e+02,4.596000e+02,0,0,1,1
