Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.37E+03,2.37E+03,0,0,0,0
SPX US 3/17/2017 C300 Index,300,2.06E+03,2.07E+03,0,0,14,14
SPX US 3/17/2017 C400 Index,400,1.96E+03,1.97E+03,0,0,14,14
SPX US 3/17/2017 C500 Index,500,1.86E+03,1.87E+03,0,0,14,12
SPX US 3/17/2017 C600 Index,600,1.76E+03,1.77E+03,0,0,14,12
SPX US 3/17/2017 C700 Index,700,1.66E+03,1.67E+03,0,0,12,14
SPX US 3/17/2017 C750 Index,750,1.61E+03,1.62E+03,0,0,14,12
SPX US 3/17/2017 C800 Index,800,1.56E+03,1.57E+03,0,0,14,12
SPX US 3/17/2017 C850 Index,850,1.51E+03,1.52E+03,0,0,14,12
SPX US 3/17/2017 C900 Index,900,1.46E+03,1.47E+03,0,0,14,12
SPX US 3/17/2017 C950 Index,950,1.41E+03,1.42E+03,0,0,14,12
SPX US 3/17/2017 C1000 Index,1000,1.36E+03,1.37E+03,0,0,14,12
SPX US 3/17/2017 C1025 Index,1025,1.34E+03,1.34E+03,0,0,14,12
SPX US 3/17/2017 C1050 Index,1050,1.31E+03,1.32E+03,0,0,14,12
SPX US 3/17/2017 C1075 Index,1075,1.29E+03,1.29E+03,0,0,14,12
SPX US 3/17/2017 C1100 Index,1100,1.26E+03,1.27E+03,0,0,14,12
SPX US 3/17/2017 C1125 Index,1125,1.24E+03,1.24E+03,0,0,14,12
SPX US 3/17/2017 C1150 Index,1150,1.21E+03,1.22E+03,0,0,14,12
SPX US 3/17/2017 C1175 Index,1175,1.19E+03,1.19E+03,0,0,14,12
SPX US 3/17/2017 C1200 Index,1200,1.16E+03,1.17E+03,0,0,14,12
SPX US 3/17/2017 C1225 Index,1225,1.14E+03,1.14E+03,0,0,14,12
SPX US 3/17/2017 C1250 Index,1250,1.11E+03,1.12E+03,0,0,14,12
SPX US 3/17/2017 C1275 Index,1275,1.09E+03,1.09E+03,0,0,14,12
SPX US 3/17/2017 C1300 Index,1300,1.06E+03,1.07E+03,0,0,14,12
SPX US 3/17/2017 C1325 Index,1325,1.04E+03,1.04E+03,0,0,14,12
SPX US 3/17/2017 C1350 Index,1350,1.01E+03,1.02E+03,0,0,14,12
SPX US 3/17/2017 C1375 Index,1375,9.89E+02,9.93E+02,0,0,14,12
SPX US 3/17/2017 C1400 Index,1400,9.64E+02,9.68E+02,0,0,14,12
SPX US 3/17/2017 C1420 Index,1420,9.44E+02,9.48E+02,0,0,14,12
SPX US 3/17/2017 C1425 Index,1425,9.39E+02,9.43E+02,0,0,14,12
SPX US 3/17/2017 C1440 Index,1440,9.24E+02,9.28E+02,0,0,14,12
SPX US 3/17/2017 C1450 Index,1450,9.14E+02,9.18E+02,0,0,14,12
SPX US 3/17/2017 C1460 Index,1460,9.04E+02,9.08E+02,0,0,14,12
SPX US 3/17/2017 C1470 Index,1470,8.94E+02,8.98E+02,0,0,14,12
SPX US 3/17/2017 C1475 Index,1475,8.89E+02,8.93E+02,0,0,14,12
SPX US 3/17/2017 C1480 Index,1480,8.84E+02,8.88E+02,0,0,14,12
SPX US 3/17/2017 C1485 Index,1485,8.79E+02,8.83E+02,0,0,14,12
SPX US 3/17/2017 C1490 Index,1490,8.74E+02,8.78E+02,0,0,14,12
SPX US 3/17/2017 C1495 Index,1495,8.69E+02,8.73E+02,0,0,14,12
SPX US 3/17/2017 C1500 Index,1500,8.64E+02,8.68E+02,0,0,14,12
SPX US 3/17/2017 C1505 Index,1505,8.59E+02,8.63E+02,0,0,14,12
SPX US 3/17/2017 C1510 Index,1510,8.54E+02,8.58E+02,0,0,14,12
